state,county,fips,pop2012,yieldchange,mortchange,energychange,laborlowchange,laborhighchange,coastaldamage,crimepropertychange,crimeviolentchange,totaldamage
AL,Autauga County,1001,55192,-16.00353622,27.02458382,11.99868584,-0.5155786872,-2.120601177,-2.051728964,0.05295107514,2.369668484,9.43900013
AL,Baldwin County,1003,190560,-12.97430611,31.89538574,12.06669998,-0.3788057268,-1.937922955,-0.6980604529,0.14725703,2.495163679,9.407799721
AL,Barbour County,1005,27169,-6.562764645,25.53455162,11.38057899,-0.3944428265,-1.976558805,-1.961137652,0.1519255042,2.528312922,10.87199974
AL,Bibb County,1007,22634,,22.53026772,12.07042408,-0.428851068,-1.934934497,-1.940462589,0.1873121411,2.525677443,10.77700043
AL,Blount County,1009,57748,-18.4881897,20.00385094,11.90812778,-0.3745223582,-1.854807973,-1.976277828,0.2836514115,2.659189463,8.984900475
AL,Bullock County,1011,10589,-67.05168915,29.44885063,11.38057899,-0.3944428265,-1.976558805,-1.897234678,0.1586036384,2.530690908,14.57800007
AL,Butler County,1013,20409,-37.75315857,33.30487442,11.94373608,-0.3884226978,-1.978348374,-1.987930775,0.1669543535,2.528355122,12.68000031
AL,Calhoun County,1015,117260,-11.23394012,29.35908699,11.86361885,-0.3761608899,-1.856770515,-2.012088299,0.2473684996,2.66236949,10.9659996
AL,Chambers County,1017,34087,32.40844727,28.98548698,11.28461552,-0.27781111,-1.683819771,-1.985084057,0.3113922775,2.734343529,10.7840004
AL,Cherokee County,1019,26017,14.54802895,19.57513428,11.94947243,-0.2252650559,-1.543299794,-1.979136586,0.4824132621,2.895255089,8.242400169
AL,Chilton County,1021,43709,-15.16842937,29.80205917,12.08661842,-0.4156394303,-1.935026884,-1.964368701,0.2027297616,2.586788893,12.65400028
AL,Choctaw County,1023,13559,-10.250453,35.75742722,12.16900063,-0.4695616663,-2.082331896,-1.969655752,0.1064217016,2.459262848,14.69200039
AL,Clarke County,1025,25168,-10.4934206,33.41838074,12.16900063,-0.4695616663,-2.082331896,-0.5878137946,0.1106462926,2.455294609,13.59000015
AL,Clay County,1027,13465,,27.25026131,11.87521172,-0.4268268049,-1.929721355,-1.983538628,0.1936336607,2.605437517,11.80900002
AL,Cleburne County,1029,14918,-67.50886536,28.6897049,11.86361885,-0.3761608899,-1.856770515,-1.973616719,0.2569583356,2.654406309,11.90200043
AL,Coffee County,1031,51217,3.496398449,20.10012436,12.11888313,-0.3453051448,-1.916980624,-2.074890375,0.2121944726,2.563366652,6.939099789
AL,Colbert County,1033,54473,-13.19145203,30.09936523,12.56714439,-0.4417818487,-1.969152808,-2.025622368,0.256002605,2.605430841,10.65299988
AL,Conecuh County,1035,13005,-13.29530621,35.84211731,11.71007156,-0.4501034319,-2.075598478,-1.952104926,0.1067854166,2.37253356,14.72299957
AL,Coosa County,1037,11181,,23.73347092,11.91052151,-0.3716823161,-1.863590956,-1.918381095,0.2409989685,2.645071507,12.02499962
AL,Covington County,1039,37809,0.709236443,33.59521103,11.94373608,-0.3884226978,-1.978348374,-0.5980136395,0.1678761542,2.527270079,12.22799969
AL,Crenshaw County,1041,13972,-62.32007599,26.01593208,12.11888313,-0.3453051448,-1.916980624,-1.989836454,0.2228333801,2.575200319,10.84599972
AL,Cullman County,1043,80361,-21.60521698,23.80463219,11.90812778,-0.3745223582,-1.854807973,-2.021294355,0.2836514115,2.659189463,9.539600372
AL,Dale County,1045,50310,-4.369337559,22.6889286,11.38057899,-0.3944428265,-1.976558805,-2.009958744,0.1579465717,2.527494192,9.176600456
AL,Dallas County,1047,42839,-6.151159763,27.43489456,12.07042408,-0.428851068,-1.934934497,-1.981795669,0.1670258045,2.530472755,10.51500034
AL,DeKalb County,1049,70930,-35.55474091,15.56729794,11.67417431,-0.2704438269,-1.671539068,-1.949011564,0.4383351505,2.843507528,7.914599895
AL,Elmore County,1051,80392,-20.44686699,27.7365284,11.99868584,-0.5155786872,-2.120601177,-2.058686256,0.04660233483,2.367591381,9.532500267
AL,Escambia County,1053,38048,-8.407058716,32.18081284,11.71007156,-0.4501034319,-2.075598478,-0.5925455689,0.1003062204,2.387122631,12.22200012
AL,Etowah County,1055,104320,-22.02352142,33.43852234,11.87240791,-0.4224171042,-1.884964824,-2.011272669,0.2385777831,2.619443417,12.14900017
AL,Fayette County,1057,16982,-33.57161331,27.38864517,12.68918228,-0.5038526654,-2.100296021,-1.962648511,0.1428509802,2.469516516,12.21800041
AL,Franklin County,1059,31660,-53.24392319,36.84001923,12.69376278,-0.4610772729,-1.963702679,-1.96284771,0.2192816734,2.587813854,14.76599979
AL,Geneva County,1061,27002,3.003935337,24.18087196,12.11888313,-0.3453051448,-1.916980624,-0.5878455639,0.2121944726,2.563366652,10.14599991
AL,Greene County,1063,8827,-74.32110596,35.2052002,11.9781971,-0.5164163113,-2.083043337,-1.974602699,0.08283503354,2.426270008,13.68000031
AL,Hale County,1065,15390,-31.72099686,25.87107277,12.07042408,-0.428851068,-1.934934497,-2.016173601,0.1974408627,2.534212589,9.875800133
AL,Henry County,1067,17248,-0.6783836484,32.07289124,11.5504837,-0.3762678206,-1.890323639,-2.03082037,0.1654010415,2.542953253,11.21500015
AL,Houston County,1069,103370,-3.446600914,24.78755188,11.5504837,-0.3762678206,-1.890323639,-2.070966959,0.1725513041,2.540064812,8.296600342
AL,Jackson County,1071,53048,-30.92355537,18.47607994,12.01622295,-0.2946198881,-1.715512276,-2.008942366,0.4286010861,2.846846342,7.772200108
AL,Jefferson County,1073,657950,,31.69850159,12.19668007,-0.4358288944,-1.915668726,-2.179975986,0.2068766654,2.578483582,8.215100288
AL,Lamar County,1075,14255,-56.26609039,27.35474777,12.68918228,-0.5038526654,-2.100296021,-1.969745874,0.1428509802,2.469516516,11.9659996
AL,Lauderdale County,1077,92694,-16.41061211,27.60118294,12.56714439,-0.4417818487,-1.969152808,-2.018686295,0.256002605,2.605430841,10.36499977
AL,Lawrence County,1079,33776,-1.833628178,23.021698,12.47764874,-0.3533931375,-1.875165701,-1.974242091,0.3278998137,2.723564863,10.07800007
AL,Lee County,1081,148040,18.48419762,13.93887234,11.28461552,-0.27781111,-1.683819771,-2.012649059,0.2964504957,2.736871004,5.527200222
AL,Limestone County,1083,87363,-5.325109005,15.197155,12.80416679,-0.4193632007,-1.9430722,-2.073231459,0.2958868444,2.646583319,5.898200035
AL,Lowndes County,1085,10864,-13.54170609,36.33171082,11.99868584,-0.5155786872,-2.120601177,-2.034121513,0.05295107514,2.369668484,12.21899986
AL,Macon County,1087,20470,-2.110141516,29.4825592,11.38057899,-0.3944428265,-1.976558805,-1.954023719,0.1586036384,2.530690908,12.80500031
AL,Madison County,1089,342870,-19.02693367,21.12611771,12.51473141,-0.4439207911,-1.98150301,-2.144813538,0.2520914972,2.612795591,6.224899769
AL,Marengo County,1091,20443,-17.36082458,36.55410385,12.16900063,-0.4695616663,-2.082331896,-2.043602467,0.1222667471,2.461673498,12.04199982
AL,Marion County,1093,30516,-34.99477768,27.31741714,12.68918228,-0.5038526654,-2.100296021,-1.94008863,0.1351880282,2.464997292,12.39900017
AL,Marshall County,1095,94303,-21.25667572,19.1265831,11.94947243,-0.2252650559,-1.543299794,-1.991273761,0.4824356139,2.895047426,8.248700142
AL,Mobile County,1097,413960,-6.851595879,32.89640808,11.80590534,-0.4235725999,-1.98668921,-0.6379127502,0.1086235419,2.413881779,12.00899982
AL,Monroe County,1099,22609,-9.894647598,33.564888,12.0119791,-0.438351959,-2.023040056,-0.583191812,0.1135935485,2.390510082,13.28100014
AL,Montgomery County,1101,229430,-22.69722176,29.73131943,11.99868584,-0.5155786872,-2.120601177,-2.101378202,0.06074513122,2.357745409,8.951999664
AL,Morgan County,1103,120060,-37.17698288,26.3297596,12.51473141,-0.4439207911,-1.98150301,-2.035589933,0.2520914972,2.612795591,9.538100243
AL,Perry County,1105,10172,-19.51980591,29.53249931,12.07042408,-0.428851068,-1.934934497,-1.957720637,0.1744446307,2.527751207,12.89599991
AL,Pickens County,1107,19344,-30.84887314,39.08919525,11.9781971,-0.5164163113,-2.083043337,-1.986172915,0.0928767547,2.423559427,14.25199986
AL,Pike County,1109,33128,-4.507048607,25.30277252,11.38057899,-0.3944428265,-1.976558805,-2.037724257,0.1586036384,2.530690908,9.338299751
