"","PID","DECADE","NHGISNAM","NHGISST","NHGISCTY","ICPSRST","ICPSRCTY","ICPSRNAM","STATENAM","ICPSRSTI","ICPSRCTYI","ICPSRFIP","STATE","COUNTY","PID.1","X_CENTROID","Y_CENTROID","GISJOIN","GISJOIN2","SHAPE_AREA","SHAPE_LEN","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
"1",1,"2000","Smith","200","1830","32","1830","SMITH","Kansas",32,1830,0,"200","1830",1078,-236386.08924836,259566.56637283,"G2001830","2001830",2321990595.17,192755.580315,152.257142857143,151.8,31.7714285714286,11191.3714285714,402.885714285714,-66.6285714285714,469.628571428571,135.571428571429,11.6285714285714,299.028571428571,11.6285714285714,573.885714285714,105.257142857143,15.0571428571429,53.3428571428571,253.257142857143,50.9428571428571,145.857142857143,50.9428571428571
"2",2,"2000","Holmes","390","0750","24","750","HOLMES","Ohio",24,750,0,"390","0750",1218,1177073.36621582,430366.4719662,"G3900750","3900750",1098202255.19,146352.779149,135.736842105263,121.789473684211,31.8947368421053,9150.8947368421,336.105263157895,-39.3684210526316,375.578947368421,122.631578947368,148.473684210526,254,18,958.052631578947,106.157894736842,60.5789473684211,18.5263157894737,271.789473684211,213.894736842105,252.473684210526,219.789473684211
"3",3,"2000","Pamlico","370","1370","47","1370","PAMLICO","North Carolina",47,1370,0,"370","1370",1114,1727492.09935188,-88641.38018658,"G3701370","3701370",883598335.48,620941.951268,191.916666666667,110.75,36.0833333333333,7151.5,338.333333333333,35,303,277.916666666667,137.083333333333,280.416666666667,97.8333333333333,1401,182.5,65.8333333333333,28.5833333333333,478.5,262.25,452.333333333333,332.083333333333
"4",4,"2000","Gratiot","260","0570","23","570","GRATIOT","Michigan",23,570,0,"260","0570",2792,917917.50149998,703692.34475343,"G2600570","2600570",1480443054.17,154795.103298,125.733333333333,117.2,30.0333333333333,9488.16666666667,337.933333333333,-44.5666666666667,382.466666666667,107.5,8.26666666666667,250.833333333333,8.26666666666667,771.966666666667,84.5,37.7,22.2666666666667,232.033333333333,154.2,183.133333333333,154.2
"5",5,"2000","Glacier","300","0350","64","350","GLACIER","Montana",64,350,0,"300","0350",1350,-1258123.57901213,1361812.42546868,"G3000350","3000350",7865622540.15,459100.105154,76.0367647058823,134.845588235294,32.6617647058824,8882.94117647059,307.242647058824,-98.5441176470588,405.808823529412,110.602941176471,70.9411764705882,194.338235294118,-28.7794117647059,423.286764705882,67.7867647058823,18.3455882352941,46.6985294117647,174.566176470588,59.5808823529412,119.360294117647,81.5073529411765
"6",6,"2000","Sussex","340","0370","12","370","SUSSEX","New Jersey",12,370,0,"340","0370",2426,1759833.86335371,605943.89222482,"G3400370","3400370",1388199887.92,159312.925121,127.6,124,32.9,8795.15,322,-50.45,372.35,40.35,171.55,241.8,13.3,1281.45,148.1,83.7,17.15,365.6,271.8,336.75,306.2
"7",7,"2000","Chickasaw","280","0170","46","170","CHICKASAW","Mississippi",46,170,0,"280","0170",2234,646695.42753708,-376655.29191443,"G2800170","2800170",1306055447.59,161719.982426,201.222222222222,134.611111111111,38.2777777777778,8247.5,376.111111111111,28.5555555555556,347.611111111111,101.111111111111,262.777777777778,303.777777777778,94,1366,172,68.5555555555556,30,449.611111111111,233.444444444444,275,448
"8",8,"2000","Canadian","400","0170","53","170","CANADIAN","Oklahoma",53,170,0,"400","0170",656,-178162.93911155,-217409.00254356,"G4000170","4000170",2344387085.34,210853.064017,190.805555555556,136.916666666667,33.3888888888889,9540.94444444445,399.861111111111,-4.16666666666667,404.027777777778,180.027777777778,68.1666666666667,312.75,68.1666666666667,713.833333333333,126.555555555556,28.2777777777778,44,275.166666666667,102.277777777778,163.472222222222,102.277777777778
"9",9,"2000","Pleasants","540","0730","56","730","PLEASANTS","West Virginia",56,730,0,"540","0730",1877,1261602.47998884,308391.80452569,"G5400730","5400730",348581162.392,109267.123265,150.4,133.2,34.4,9004,349.8,-34.2,384,140.2,251.6,266,33.4,1070.6,121.8,65.6,15.4,303,246.6,247.6,268
"10",10,"2000","Knox","170","0950","21","950","KNOX","Illinois",21,950,0,"170","0950",622,483032.35630255,399261.72482269,"G1700950","1700950",1863999994.49,173985.63714,146.8,123.28,29,10748.92,368.84,-48.36,417.32,133.92,8.16,284.92,8.16,849.52,95.44,41.88,24.28,273.84,166,209.4,166
