"","PID","DECADE","NHGISNAM","NHGISST","NHGISCTY","ICPSRST","ICPSRCTY","ICPSRNAM","STATENAM","ICPSRSTI","ICPSRCTYI","ICPSRFIP","STATE","COUNTY","PID.1","X_CENTROID","Y_CENTROID","GISJOIN","GISJOIN2","SHAPE_AREA","SHAPE_LEN","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
"1",1,"2000","Smith","200","1830","32","1830","SMITH","Kansas",32,1830,0,"200","1830",1078,-236386.08924836,259566.56637283,"G2001830","2001830",2321990595.17,192755.580315,139.114285714286,147.8,33.1142857142857,10342.1714285714,373.228571428571,-67.3714285714286,440.714285714286,245.4,4.57142857142857,272.342857142857,4.57142857142857,681.657142857143,101.685714285714,14.1428571428571,52.5142857142857,271.657142857143,54.2285714285714,255.257142857143,54.2285714285714
"2",2,"2000","Holmes","390","0750","24","750","HOLMES","Ohio",24,750,0,"390","0750",1218,1177073.36621582,430366.4719662,"G3900750","3900750",1098202255.19,146352.779149,125.631578947368,118.578947368421,31.6315789473684,8906.52631578947,326.157894736842,-42.9473684210526,369.157894736842,114.947368421053,8.42105263157895,239.894736842105,8.42105263157895,1041.10526315789,119,53.2105263157895,22.5263157894737,322.210526315789,182.315789473684,290.210526315789,182.315789473684
"3",3,"2000","Pamlico","370","1370","47","1370","PAMLICO","North Carolina",47,1370,0,"370","1370",1114,1727492.09935188,-88641.38018658,"G3701370","3701370",883598335.48,620941.951268,188.666666666667,112.166666666667,34.75,7386.33333333333,345.75,28.3333333333333,317.25,277.5,169.416666666667,282.666666666667,91.6666666666667,1437.58333333333,186.416666666667,83.4166666666667,24.8333333333333,488.416666666667,298.083333333333,438,334.5
"4",4,"2000","Gratiot","260","0570","23","570","GRATIOT","Michigan",23,570,0,"260","0570",2792,917917.50149998,703692.34475343,"G2600570","2600570",1480443054.17,154795.103298,111.866666666667,112.166666666667,28.6333333333333,9334.13333333333,323.466666666667,-62.3,385.733333333333,173.733333333333,-7.96666666666667,232.2,-7.96666666666667,866.3,95,35.3666666666667,23.3,256.9,140.666666666667,248.266666666667,140.7
"5",5,"2000","Glacier","300","0350","64","350","GLACIER","Montana",64,350,0,"300","0350",1350,-1258123.57901213,1361812.42546868,"G3000350","3000350",7865622540.15,459100.105154,67.9191176470588,128.448529411765,33.4338235294118,8312.97794117647,280.691176470588,-98.5588235294118,379.316176470588,108.433823529412,58.8455882352941,176.345588235294,-34.0661764705882,482.838235294118,82.4191176470588,21.1176470588235,48.1397058823529,197.235294117647,71.3823529411765,152.367647058824,94.8676470588235
"6",6,"2000","Sussex","340","0370","12","370","SUSSEX","New Jersey",12,370,0,"340","0370",2426,1759833.86335371,605943.89222482,"G3400370","3400370",1388199887.92,159312.925121,118.5,122.85,31.7,8918.6,324.1,-56.75,381,147.4,1.45,233.35,1.45,1283.5,141.25,75.8,15.1,361.85,261.05,310.15,261.05
"7",7,"2000","Chickasaw","280","0170","46","170","CHICKASAW","Mississippi",46,170,0,"280","0170",2234,646695.42753708,-376655.29191443,"G2800170","2800170",1306055447.59,161719.982426,192.777777777778,132.277777777778,38.1111111111111,7885.44444444444,370.444444444444,28.0555555555556,342.388888888889,107.833333333333,294.444444444444,294.444444444444,89.7777777777778,1406.94444444444,167.833333333333,51.9444444444444,28.9444444444444,447.333333333333,209.777777777778,209.777777777778,435.833333333333
"8",8,"2000","Canadian","400","0170","53","170","CANADIAN","Oklahoma",53,170,0,"400","0170",656,-178162.93911155,-217409.00254356,"G4000170","4000170",2344387085.34,210853.064017,183.083333333333,136.583333333333,34.3888888888889,9199.80555555555,385.944444444444,-5.36111111111111,391.277777777778,229.5,62.8611111111111,300.25,62.8611111111111,805.194444444444,146.861111111111,25.2777777777778,58.9722222222222,311.416666666667,106.916666666667,209.388888888889,106.944444444444
"9",9,"2000","Pleasants","540","0730","56","730","PLEASANTS","West Virginia",56,730,0,"540","0730",1877,1261602.47998884,308391.80452569,"G5400730","5400730",348581162.392,109267.123265,142,131.2,34.8,8622.2,339,-31.8,370.6,135,27.6,252.8,27.6,1127.6,123.8,70.6,15.8,338,230.6,289.8,230.6
"10",10,"2000","Knox","170","0950","21","950","KNOX","Illinois",21,950,0,"170","0950",622,483032.35630255,399261.72482269,"G1700950","1700950",1863999994.49,173985.63714,129.28,114.52,28.32,10205.04,336.44,-61.92,398.48,199.68,-7.96,256.4,-7.96,1036.44,129.4,37.2,31.44,351.92,144.16,332.32,144.16
"11",11,"2000","Grayson","480","1810","49","1810","GRAYSON","Texas",49,1810,0,"480","1810",1719,-62424.16804244,-433290.35354655,"G4801810","4801810",2536123811.01,242608.326442,203.133333333333,126.766666666667,34.6666666666667,8254.13333333333,389.933333333333,28.7,361.4,244.3,307.366666666667,307.366666666667,94.5,929.1,135.7,27.0333333333333,41.5,322.033333333333,163.366666666667,163.366666666667,180.233333333333
"12",12,"2000","Mitchell","200","1230","32","1230","MITCHELL","Kansas",32,1230,0,"200","1230",1053,-188538.0143773,214387.64771905,"G2001230","2001230",1861223431.19,173446.792484,146.321428571429,145.321428571429,32.6071428571429,10370.9642857143,380.142857142857,-59.1071428571429,439.5,252.357142857143,10.5357142857143,279.392857142857,10.5357142857143,742.714285714286,113.428571428571,17.75,49.6428571428571,290.821428571429,68.9642857142857,270.428571428571,68.9642857142857
"13",13,"2000","Bienville","220","0130","45","130","BIENVILLE","Louisiana",45,130,0,"220","0130",216,275621.3432225,-572037.29736455,"G2200130","2200130",2128393205.43,242374.715335,203.814814814815,133.777777777778,39.1481481481481,7481.18518518519,375.888888888889,37.7777777777778,338.037037037037,105.518518518519,297.222222222222,297.222222222222,104.037037037037,1227.40740740741,140.333333333333,33.8888888888889,28.5925925925926,391.111111111111,181.777777777778,181.777777777778,391.037037037037
"14",14,"2000","Wayne","420","1270","14","1270","WAYNE","Pennsylvania",14,1270,0,"420","1270",931,1697713.97531393,650373.14996212,"G4201270","4201270",1943867869.9,261762.073442,102.9,118.633333333333,30.7,8885.46666666667,307.133333333333,-72.3,379.466666666667,119.433333333333,-13.3666666666667,216.8,-13.3666666666667,1202.7,130.166666666667,71.1666666666667,15,339.266666666667,245.333333333333,286.666666666667,245.333333333333
"15",15,"2000","Harnett","370","0850","47","850","HARNETT","North Carolina",47,850,0,"370","0850",1090,1534834.54884096,-100015.52412767,"G3700850","3700850",1557371624.39,179006.888999,182.857142857143,128.904761904762,37,7905.95238095238,357.761904761905,15.047619047619,342.809523809524,276.285714285714,220.714285714286,284.619047619048,79,1223.95238095238,136.761904761905,75.2380952380952,17.4285714285714,362.761904761905,258.904761904762,342.333333333333,307.285714285714
"16",16,"2000","Barron","550","0050","25","50","BARRON/DALLAS","Wisconsin",25,50,0,"550","0050",1896,324751.42783122,893142.59761328,"G5500050","5500050",2305106414.3,191958.152155,89.0697674418605,124.116279069767,27.3953488372093,11079.488372093,316.883720930233,-129.325581395349,446.279069767442,226.255813953488,-60.4186046511628,226.255813953488,-60.4186046511628,858.418604651163,117.767441860465,26.2790697674419,43.3255813953488,330,90.7906976744186,330.023255813953,90.8139534883721
"17",17,"2000","Blanco","480","0310","49","310","BLANCO","Texas",49,310,0,"480","0310",1655,-230536.51701471,-804944.42799379,"G4800310","4800310",1847759021.67,176094.468254,214.333333333333,140.958333333333,40.125,6977.20833333333,390.166666666667,43,347.25,219.666666666667,213.666666666667,299.708333333333,121.416666666667,716.083333333333,132.5,19.375,52.1666666666667,261.625,120.041666666667,123.125,127.541666666667
"18",18,"2000","Franklin","250","0110","3","110","FRANKLIN","Massachusetts",3,110,0,"250","0110",2759,1890396.1208912,803333.20263311,"G2500110","2500110",1877039173.66,252500.588034,102.741935483871,123.290322580645,30.4838709677419,9270.83870967742,315.193548387097,-81.741935483871,396.870967741935,130.806451612903,-18.5806451612903,221.967741935484,-18.5806451612903,1301.16129032258,124.516129032258,84.8709677419355,11.9354838709677,355.774193548387,290.677419354839,304.870967741935,290.677419354839
