"","PID","DECADE","NHGISNAM","NHGISST","NHGISCTY","ICPSRST","ICPSRCTY","ICPSRNAM","STATENAM","ICPSRSTI","ICPSRCTYI","ICPSRFIP","STATE","COUNTY","PID.1","X_CENTROID","Y_CENTROID","GISJOIN","GISJOIN2","SHAPE_AREA","SHAPE_LEN","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
"1",1,"2000","Smith","200","1830","32","1830","SMITH","Kansas",32,1830,0,"200","1830",1078,-236386.08924836,259566.56637283,"G2001830","2001830",2321990595.17,192755.580315,141.171428571429,148.485714285714,31.9714285714286,10657.0285714286,380.542857142857,-77.1428571428571,457.828571428571,195.485714285714,4.82857142857143,279.628571428571,4.82857142857143,639.085714285714,110.742857142857,14.2571428571429,53.4285714285714,270.428571428571,50.3714285714286,215.4,50.3714285714286
"2",2,"2000","Holmes","390","0750","24","750","HOLMES","Ohio",24,750,0,"390","0750",1218,1177073.36621582,430366.4719662,"G3900750","3900750",1098202255.19,146352.779149,124.157894736842,123.578947368421,32.6842105263158,9124.73684210526,319.789473684211,-51.5263157894737,371.315789473684,216.842105263158,4.94736842105263,238.526315789474,4.94736842105263,1044.89473684211,117.578947368421,63.6842105263158,18.7894736842105,326.789473684211,210.210526315789,314.526315789474,210.210526315789
"3",3,"2000","Pamlico","370","1370","47","1370","PAMLICO","North Carolina",47,1370,0,"370","1370",1114,1727492.09935188,-88641.38018658,"G3701370","3701370",883598335.48,620941.951268,191.333333333333,111.083333333333,35.75,7185.91666666667,338.833333333333,32.6666666666667,306,276.333333333333,152.75,280.666666666667,97,1514.25,187.833333333333,87,24.9166666666667,520.916666666667,294.75,509.083333333333,333
"4",4,"2000","Gratiot","260","0570","23","570","GRATIOT","Michigan",23,570,0,"260","0570",2792,917917.50149998,703692.34475343,"G2600570","2600570",1480443054.17,154795.103298,112.3,115.066666666667,29.8333333333333,9562.4,322.433333333333,-58.5,380.9,225.733333333333,-9.26666666666667,234.633333333333,-9.56666666666667,846.5,91.4,37.8,20.9666666666667,248.466666666667,150.233333333333,248.4,150.266666666667
"5",5,"2000","Glacier","300","0350","64","350","GLACIER","Montana",64,350,0,"300","0350",1350,-1258123.57901213,1361812.42546868,"G3000350","3000350",7865622540.15,459100.105154,70.7720588235294,132.345588235294,32.8823529411765,8515.53676470588,287.294117647059,-109.860294117647,397.198529411765,106.904411764706,49.6985294117647,182.860294117647,-36.0441176470588,464.551470588235,69.2647058823529,22.3088235294118,41.9117647058824,178.595588235294,76.75,135.419117647059,92.4117647058823
"6",6,"2000","Sussex","340","0370","12","370","SUSSEX","New Jersey",12,370,0,"340","0370",2426,1759833.86335371,605943.89222482,"G3400370","3400370",1388199887.92,159312.925121,118.3,124.4,32.2,9117.9,316.9,-63.05,380.1,225.85,-0.6,233.9,-0.6,1289.2,123.85,87.6,11.65,361.15,281.05,360.55,281.05
"7",7,"2000","Chickasaw","280","0170","46","170","CHICKASAW","Mississippi",46,170,0,"280","0170",2234,646695.42753708,-376655.29191443,"G2800170","2800170",1306055447.59,161719.982426,192.111111111111,131.888888888889,38.8333333333333,7647,357.666666666667,22.1111111111111,335.666666666667,145,248.444444444444,286.5,91.3333333333333,1541.5,178.833333333333,79,24,505.833333333333,270.944444444444,298.777777777778,473.277777777778
"8",8,"2000","Canadian","400","0170","53","170","CANADIAN","Oklahoma",53,170,0,"400","0170",656,-178162.93911155,-217409.00254356,"G4000170","4000170",2344387085.34,210853.064017,181.305555555556,135.222222222222,33.5833333333333,9231.44444444445,384.361111111111,-12.5277777777778,396.833333333333,229.111111111111,77.1944444444444,299.222222222222,62.0555555555556,788.166666666667,136.166666666667,22.3055555555556,44.3888888888889,308.527777777778,95.4166666666667,212.583333333333,99.6944444444444
"9",9,"2000","Pleasants","540","0730","56","730","PLEASANTS","West Virginia",56,730,0,"540","0730",1877,1261602.47998884,308391.80452569,"G5400730","5400730",348581162.392,109267.123265,141,132,35,8802.4,333,-38,370.6,251,126.6,251,25.2,1153.2,118.6,75.6,13,330,253.4,330,254.6
"10",10,"2000","Knox","170","0950","21","950","KNOX","Illinois",21,950,0,"170","0950",622,483032.35630255,399261.72482269,"G1700950","1700950",1863999994.49,173985.63714,130.48,119.48,28.72,10315.2,341.44,-66.72,408.28,187.4,-5.28,259.96,-5.28,980.32,114.8,39.36,29.72,325.72,141.84,309.08,141.88
"11",11,"2000","Grayson","480","1810","49","1810","GRAYSON","Texas",49,1810,0,"480","1810",1719,-62424.16804244,-433290.35354655,"G4801810","4801810",2536123811.01,242608.326442,201.233333333333,123.033333333333,34.2333333333333,8273.63333333333,375.9,21.7333333333333,354.166666666667,244.7,108.233333333333,305,92.5333333333333,994.7,133.7,46.2,29.5,337.366666666667,168.633333333333,220.166666666667,192.1
