"","PID","DECADE","NHGISNAM","NHGISST","NHGISCTY","ICPSRST","ICPSRCTY","ICPSRNAM","STATENAM","ICPSRSTI","ICPSRCTYI","ICPSRFIP","STATE","COUNTY","PID.1","X_CENTROID","Y_CENTROID","GISJOIN","GISJOIN2","SHAPE_AREA","SHAPE_LEN","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
"1",1,"2000","Smith","200","1830","32","1830","SMITH","Kansas",32,1830,0,"200","1830",1078,-236386.08924836,259566.56637283,"G2001830","2001830",2321990595.17,192755.580315,142,145.485714285714,32.9714285714286,10037.9428571429,367.657142857143,-66.6285714285714,434.4,245.885714285714,12.5142857142857,273.342857142857,12.5142857142857,607.657142857143,107.514285714286,11.1428571428571,56.2857142857143,252.714285714286,41.1142857142857,217.314285714286,41.1142857142857
"2",2,"2000","Holmes","390","0750","24","750","HOLMES","Ohio",24,750,0,"390","0750",1218,1177073.36621582,430366.4719662,"G3900750","3900750",1098202255.19,146352.779149,124.473684210526,114.684210526316,32.5789473684211,8733.36842105263,308.157894736842,-39.1052631578947,347.263157894737,210.210526315789,9.89473684210526,234.842105263158,9.89473684210526,1038.05263157895,113.631578947368,57.3684210526316,19.9473684210526,327.368421052632,209.684210526316,303.842105263158,209.684210526316
"3",3,"2000","Pamlico","370","1370","47","1370","PAMLICO","North Carolina",47,1370,0,"370","1370",1114,1727492.09935188,-88641.38018658,"G3701370","3701370",883598335.48,620941.951268,186.75,109.583333333333,35.5,7022,331.833333333333,28.8333333333333,302.833333333333,271.333333333333,135.583333333333,274.833333333333,94.5,1410.5,187.75,75.9166666666667,27.5833333333333,508.166666666667,276.5,478,304.916666666667
"4",4,"2000","Gratiot","260","0570","23","570","GRATIOT","Michigan",23,570,0,"260","0570",2792,917917.50149998,703692.34475343,"G2600570","2600570",1480443054.17,154795.103298,111.966666666667,109.233333333333,29.9666666666667,9224.16666666667,311.333333333333,-48.5666666666667,359.866666666667,158.2,-6.63333333333333,230.6,-6.63333333333333,837.066666666667,89.3333333333333,38.3666666666667,23.0666666666667,253.1,141.433333333333,239.4,141.466666666667
"5",5,"2000","Glacier","300","0350","64","350","GLACIER","Montana",64,350,0,"300","0350",1350,-1258123.57901213,1361812.42546868,"G3000350","3000350",7865622540.15,459100.105154,65.0073529411765,128.845588235294,34.0147058823529,8295.53676470588,273.477941176471,-99.6617647058823,373.176470588235,111.669117647059,26.3014705882353,173.867647058824,-36.3823529411765,488.095588235294,78.6397058823529,23.2867647058824,45.0808823529412,192.257352941176,78.875,159.404411764706,88.5882352941177
"6",6,"2000","Sussex","340","0370","12","370","SUSSEX","New Jersey",12,370,0,"340","0370",2426,1759833.86335371,605943.89222482,"G3400370","3400370",1388199887.92,159312.925121,116.7,118.8,33.55,8565.6,298.9,-50,349.05,178.15,3.65,225.05,3.65,1266.6,131.25,87.1,11.9,360.3,273.25,339.15,273.25
"7",7,"2000","Chickasaw","280","0170","46","170","CHICKASAW","Mississippi",46,170,0,"280","0170",2234,646695.42753708,-376655.29191443,"G2800170","2800170",1306055447.59,161719.982426,189.888888888889,128.555555555556,37.6666666666667,7546.66666666667,355.833333333333,19.3333333333333,336.611111111111,125.833333333333,244.944444444444,286.666666666667,91.1666666666667,1428.33333333333,164.111111111111,77.6666666666667,21,425.944444444444,268.888888888889,290.833333333333,424.555555555556
"8",8,"2000","Canadian","400","0170","53","170","CANADIAN","Oklahoma",53,170,0,"400","0170",656,-178162.93911155,-217409.00254356,"G4000170","4000170",2344387085.34,210853.064017,180.916666666667,132,33.9722222222222,8698.22222222222,373.333333333333,-9.61111111111111,382.888888888889,226.472222222222,67.7777777777778,292.944444444444,67.7777777777778,801.916666666667,128.888888888889,24.6666666666667,45.0277777777778,303.055555555556,93.8055555555556,233.472222222222,93.8055555555556
"9",9,"2000","Pleasants","540","0730","56","730","PLEASANTS","West Virginia",56,730,0,"540","0730",1877,1261602.47998884,308391.80452569,"G5400730","5400730",348581162.392,109267.123265,138.6,127,35.4,8406.8,319.2,-35,354,221,126.2,244.4,26.6,1152.8,116.8,69.6,14,329.6,251.6,319.6,254.8
"10",10,"2000","Knox","170","0950","21","950","KNOX","Illinois",21,950,0,"170","0950",622,483032.35630255,399261.72482269,"G1700950","1700950",1863999994.49,173985.63714,130.84,111.4,28,9978.44,330.92,-59.48,390.48,185.84,-2.68,256.24,-2.68,960.32,108.16,36.88,29.56,316.04,135.16,301.2,135.16
"11",11,"2000","Grayson","480","1810","49","1810","GRAYSON","Texas",49,1810,0,"480","1810",1719,-62424.16804244,-433290.35354655,"G4801810","4801810",2536123811.01,242608.326442,200.033333333333,122.3,34.3,7928.06666666667,373.466666666667,21.8333333333333,351.6,240.6,110.5,301.966666666667,96.2666666666667,983.366666666667,134.333333333333,49.3,33.3333333333333,333.9,166.1,219.4,170.833333333333
"12",12,"2000","Mitchell","200","1230","32","1230","MITCHELL","Kansas",32,1230,0,"200","1230",1053,-188538.0143773,214387.64771905,"G2001230","2001230",1861223431.19,173446.792484,149.035714285714,142.392857142857,32.3571428571429,10075.6785714286,374.107142857143,-60.1071428571429,434.5,252.392857142857,17.7857142857143,280.214285714286,17.7857142857143,656.857142857143,108.535714285714,14.6428571428571,51.2142857142857,265.142857142857,52.25,230.678571428571,52.25
"13",13,"2000","Bienville","220","0130","45","130","BIENVILLE","Louisiana",45,130,0,"220","0130",216,275621.3432225,-572037.29736455,"G2200130","2200130",2128393205.43,242374.715335,202.148148148148,131.740740740741,38.8148148148148,7267.48148148148,364.111111111111,29.037037037037,335.148148148148,105.481481481481,254.740740740741,293.962962962963,105.481481481481,1312.66666666667,130.037037037037,79.5185185185185,12.3703703703704,369.555555555556,278.444444444444,296.407407407407,369.555555555556
"14",14,"2000","Wayne","420","1270","14","1270","WAYNE","Pennsylvania",14,1270,0,"420","1270",931,1697713.97531393,650373.14996212,"G4201270","4201270",1943867869.9,261762.073442,99.9666666666667,114.666666666667,32.6,8576.26666666667,279.466666666667,-67.5666666666667,347.1,142.166666666667,-4.66666666666667,207.566666666667,-13.5,1196.36666666667,126.533333333333,81.1,12.6,347,259.1,318.366666666667,260.566666666667
"15",15,"2000","Harnett","370","0850","47","850","HARNETT","North Carolina",47,850,0,"370","0850",1090,1534834.54884096,-100015.52412767,"G3700850","3700850",1557371624.39,179006.888999,179.571428571429,124.666666666667,38,7396.7619047619,336.285714285714,11.952380952381,324.428571428571,273,128.095238095238,273,82.3333333333333,1244.61904761905,157.619047619048,75.8571428571429,20.8095238095238,403.285714285714,259.809523809524,403.285714285714,286.238095238095
"16",16,"2000","Barron","550","0050","25","50","BARRON/DALLAS","Wisconsin",25,50,0,"550","0050",1896,324751.42783122,893142.59761328,"G5500050","5500050",2305106414.3,191958.152155,88.5813953488372,122.93023255814,27.5581395348837,11019.2093023256,308.883720930233,-129.186046511628,438.116279069767,217.348837209302,-60.046511627907,225.162790697674,-60.046511627907,888.06976744186,113.488372093023,25,42.8139534883721,321.744186046512,89.5116279069767,319.232558139535,89.5116279069767
"17",17,"2000","Blanco","480","0310","49","310","BLANCO","Texas",49,310,0,"480","0310",1655,-230536.51701471,-804944.42799379,"G4800310","4800310",1847759021.67,176094.468254,212.166666666667,135.875,40.9166666666667,6657.45833333333,369.5,41.0416666666667,328.458333333333,250.208333333333,123.791666666667,295.291666666667,123.791666666667,769.125,106.708333333333,38.9583333333333,37.2916666666667,262.166666666667,127.208333333333,188.375,127.208333333333
"18",18,"2000","Franklin","250","0110","3","110","FRANKLIN","Massachusetts",3,110,0,"250","0110",2759,1890396.1208912,803333.20263311,"G2500110","2500110",1877039173.66,252500.588034,100.838709677419,120.612903225806,32.3870967741936,8912.29032258065,290.806451612903,-75.4838709677419,366.225806451613,158.677419354839,-3.80645161290323,213.645161290323,-16.8709677419355,1282.48387096774,127.548387096774,92.9354838709677,8.70967741935484,349.290322580645,295.193548387097,331.096774193548,299.032258064516
"19",19,"2000","Hand","460","0590","37","590","HAND","South Dakota",37,590,0,"460","0590",2823,-238172.63519951,792284.44161968,"G4600590","4600590",3730089659.42,253292.509828,101.944444444444,135.375,29.5972222222222,11216.5833333333,337.152777777778,-112.888888888889,449.972222222222,176.763888888889,-26.625,244.75,-44.7083333333333,501.416666666667,81.4305555555556,8.86111111111111,58.3333333333333,227.055555555556,36.7361111111111,190.986111111111,37.875
"20",20,"2000","Otsego","360","0770","13","770","OTSEGO","New York",13,770,0,"360","0770",2491,1695412.47609164,762772.69937584,"G3600770","3600770",2629077884.25,273752.58533,93.3414634146341,113.219512195122,31.4878048780488,8745.0243902439,277,-76.7317073170732,353.756097560976,172.80487804878,-16.5365853658537,203.317073170732,-21.219512195122,1151.90243902439,114.414634146341,70.5853658536585,13.5365853658537,328.80487804878,234.073170731707,316.585365853659,234.731707317073
"21",21,"2000","Carroll","390","0190","24","190","CARROLL","Ohio",24,190,0,"390","0190",1194,1246431.74191297,443099.61306053,"G3900190","3900190",1033420238.2,144108.939181,126,116.611111111111,33.1111111111111,8629.33333333333,308.611111111111,-37.6111111111111,346.277777777778,210.333333333333,23,234.888888888889,12.8888888888889,1036.33333333333,110.666666666667,58.8333333333333,18.1111111111111,320.777777777778,217.388888888889,296.055555555556,217.444444444444
"22",22,"2000","Addison","500","0010","6","10","ADDISON","Vermont",6,10,0,"500","0010",1434,1808438.20130728,949476.38664612,"G5000010","5000010",2093371534.47,224023.719169,92.25,114.625,29.5625,9404.03125,286.375,-95.5625,381.96875,201.375,-20.59375,210.59375,-31.71875,1090.96875,111.4375,65.0625,15.5625,309.6875,211.375,306.6875,222
"23",23,"2000","Anson","370","0070","47","70","ANSON","North Carolina",47,70,0,"370","0070",2514,1432765.43687344,-162799.67153627,"G3700070","3700070",1391165935.05,175375.133837,182.947368421053,129.684210526316,38.7368421052632,7415.68421052632,344.421052631579,12.5789473684211,331.894736842105,277,138.263157894737,277,85.4210526315789,1242.21052631579,146.736842105263,69.6315789473684,18.2631578947368,382.157894736842,268.578947368421,382.157894736842,297.578947368421
"24",24,"2000","Donley","480","1290","49","1290","DONLEY","Texas",49,1290,0,"480","1290",1697,-435759.21731178,-272823.64868046,"G4801290","4801290",2416588347.62,196703.019286,177.342857142857,155.342857142857,39.0285714285714,8308.65714285714,373.914285714286,-19.5142857142857,393.457142857143,267.485714285714,77,284.171428571429,69.2,536.771428571429,88.3142857142857,11.7714285714286,56.6571428571429,216.457142857143,48.1428571428571,211.114285714286,48.6285714285714
"25",25,"2000","Giles","510","0710","40","710","GILES","Virginia",40,710,0,"510","0710",2659,1337061.64918206,86997.24850125,"G5100710","5100710",933430942.273,157449.55852,130.8125,128,37.6875,7571.0625,298.125,-37.3125,335.375,206.3125,29.9375,226.5,29.9375,1034.375,109,70.5625,12.1875,298.4375,221,281.9375,221
"26",26,"2000","Morehouse","220","0670","45","670","MOREHOUSE","Louisiana",45,670,0,"220","0670",239,390649.74593003,-514902.72167004,"G2200670","2200670",2085472779.07,264600.118644,200.888888888889,127.407407407407,37.7777777777778,7426.74074074074,362.925925925926,29.7777777777778,333.074074074074,102.962962962963,253.814814814815,295.592592592593,102.962962962963,1349.33333333333,139.62962962963,79.3703703703704,16.1481481481481,392.740740740741,262.777777777778,289.666666666667,392.740740740741
"27",27,"2000","New Haven","090","0090","1","90","NEW HAVEN","Connecticut",1,90,0,"090","0090",271,1894967.36044423,669317.85178985,"G0900090","0900090",1603794383.32,331333.077881,126.888888888889,103.518518518519,31.1851851851852,8360.18518518518,299.518518518519,-27.5925925925926,327.037037037037,110.37037037037,176.111111111111,233.62962962963,18.7407407407407,1302.62962962963,127.296296296296,97.6296296296296,8.7037037037037,359.037037037037,304.074074074074,306.148148148148,311.444444444444
"28",28,"2000","Johnson","290","1010","34","1010","JOHNSON","Missouri",34,1010,0,"290","1010",2343,188867.71702146,141623.27950967,"G2901010","2901010",2157530115.11,191563.679105,151.931034482759,122.655172413793,30.3793103448276,9473.13793103448,352,-45.448275862069,397.448275862069,201.51724137931,25.5172413793103,272.137931034483,25.5172413793103,1027.41379310345,133.896551724138,36.9310344827586,34.5862068965517,358.931034482759,127.758620689655,297.241379310345,127.793103448276
"29",29,"2000","Monroe","420","0890","14","890","MONROE","Pennsylvania",14,890,0,"420","0890",3025,1709048.05502536,585222.25673563,"G4200890","4200890",1599106256.12,198679.767114,109.592592592593,114.777777777778,33,8498.74074074074,289.962962962963,-52.2222222222222,342.148148148148,190.962962962963,-1.40740740740741,217.259259259259,-1.85185185185185,1269.77777777778,132.37037037037,89.4814814814815,11,359.148148148148,280.518518518519,334.518518518519,280.518518518519
"30",30,"2000","Stephens","130","2570","44","2570","STEPHENS","Georgia",44,2570,0,"130","2570",3057,1153389.82247961,-252658.27213369,"G1302570","1302570",477156641.965,98617.8932658,175.333333333333,130.5,39.6666666666667,7127.33333333333,335,9.83333333333333,324.666666666667,95.3333333333333,182.833333333333,266,81.8333333333333,1499.16666666667,167.333333333333,100.5,13.1666666666667,436.5,331.333333333333,368.5,403.333333333333
"31",31,"2000","Clark","320","0030","65","30","CLARK","Nevada",65,30,0,"320","0030",2649,-1683061.49936795,24806.16862756,"G3200030","3200030",20954421480,736620.44901,194.815436241611,142.053691275168,37.3926174496644,8468.01342281879,397.295302013423,22.6744966442953,374.654362416107,152.043624161074,231.104026845638,305.758389261745,92.5906040268456,191.359060402685,31.5335570469799,3.24496644295302,48.7248322147651,71.6610738255034,17.255033557047,53.0838926174497,65.744966442953
