"","PID","DECADE","NHGISNAM","NHGISST","NHGISCTY","ICPSRST","ICPSRCTY","ICPSRNAM","STATENAM","ICPSRSTI","ICPSRCTYI","ICPSRFIP","STATE","COUNTY","PID.1","X_CENTROID","Y_CENTROID","GISJOIN","GISJOIN2","SHAPE_AREA","SHAPE_LEN","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
"1",1,"2000","Smith","200","1830","32","1830","SMITH","Kansas",32,1830,0,"200","1830",1078,-236386.08924836,259566.56637283,"G2001830","2001830",2321990595.17,192755.580315,144.942857142857,148.2,32.2571428571429,10844.9714285714,369.314285714286,-82.8857142857143,452.314285714286,253.914285714286,3.2,283.028571428571,3.2,700.285714285714,116.428571428571,10.1142857142857,58.1142857142857,308.285714285714,45.5142857142857,272.942857142857,45.5142857142857
"2",2,"2000","Holmes","390","0750","24","750","HOLMES","Ohio",24,750,0,"390","0750",1218,1177073.36621582,430366.4719662,"G3900750","3900750",1098202255.19,146352.779149,134.684210526316,121.736842105263,30.5789473684211,9914.94736842105,337.578947368421,-54.5263157894737,392.210526315789,232.052631578947,2.05263157894737,255.368421052632,2.05263157894737,1122.26315789474,119,64.1578947368421,18.1578947368421,335.526315789474,225.473684210526,325.631578947368,225.473684210526
"3",3,"2000","Pamlico","370","1370","47","1370","PAMLICO","North Carolina",47,1370,0,"370","1370",1114,1727492.09935188,-88641.38018658,"G3701370","3701370",883598335.48,620941.951268,199.666666666667,112.166666666667,34.3333333333333,7742.25,351.833333333333,28.5833333333333,323.083333333333,294.333333333333,163.416666666667,294.333333333333,95.0833333333333,1504.16666666667,208.083333333333,79.5,29.5,534.333333333333,271.916666666667,534.333333333333,326.5
"4",4,"2000","Gratiot","260","0570","23","570","GRATIOT","Michigan",23,570,0,"260","0570",2792,917917.50149998,703692.34475343,"G2600570","2600570",1480443054.17,154795.103298,120.033333333333,113.833333333333,28.0333333333333,10446.0333333333,330.233333333333,-65.7,395.866666666667,175.733333333333,-17.5666666666667,249.733333333333,-17.5666666666667,912.6,98.7,35.3666666666667,23.7666666666667,274.8,148.633333333333,264.1,148.666666666667
"5",5,"2000","Glacier","300","0350","64","350","GLACIER","Montana",64,350,0,"300","0350",1350,-1258123.57901213,1361812.42546868,"G3000350","3000350",7865622540.15,459100.105154,74.2205882352941,123.264705882353,30.5073529411765,8638.58823529412,292.095588235294,-105,397.161764705882,119.985294117647,43.5735294117647,184.794117647059,-35.375,531.801470588235,90.3602941176471,22.2058823529412,51.2205882352941,225.595588235294,79.3897058823529,156.294117647059,98.9117647058823
"6",6,"2000","Sussex","340","0370","12","370","SUSSEX","New Jersey",12,370,0,"340","0370",2426,1759833.86335371,605943.89222482,"G3400370","3400370",1388199887.92,159312.925121,130.2,124,30.85,9650.85,335.15,-58.6,393.9,251.85,141.2,251.85,2.55,1335.15,153.15,79.95,17.85,401.25,298.8,401.25,307.1
"7",7,"2000","Chickasaw","280","0170","46","170","CHICKASAW","Mississippi",46,170,0,"280","0170",2234,646695.42753708,-376655.29191443,"G2800170","2800170",1306055447.59,161719.982426,197.666666666667,133.777777777778,36.5,8181.5,370.333333333333,9.11111111111111,361.166666666667,196.777777777778,262.944444444444,296.333333333333,85.7222222222222,1533.94444444444,171.722222222222,67.1111111111111,21,462.5,290.222222222222,341.166666666667,405.444444444444
"8",8,"2000","Canadian","400","0170","53","170","CANADIAN","Oklahoma",53,170,0,"400","0170",656,-178162.93911155,-217409.00254356,"G4000170","4000170",2344387085.34,210853.064017,187.083333333333,137.25,32.3888888888889,9746.02777777778,395.083333333333,-21.9166666666667,416.972222222222,234.416666666667,59.0833333333333,309.611111111111,59.0833333333333,858.722222222222,159.777777777778,27.6666666666667,51.0555555555556,344.916666666667,91.8333333333333,249.916666666667,91.8333333333333
"9",9,"2000","Pleasants","540","0730","56","730","PLEASANTS","West Virginia",56,730,0,"540","0730",1877,1261602.47998884,308391.80452569,"G5400730","5400730",348581162.392,109267.123265,152,135,32.8,9691,363.2,-42,405.2,145,234.2,271,23,1195.8,126.8,75.6,13.4,331,258.6,294.6,279.2
"10",10,"2000","Knox","170","0950","21","950","KNOX","Illinois",21,950,0,"170","0950",622,483032.35630255,399261.72482269,"G1700950","1700950",1863999994.49,173985.63714,136.28,116.36,27.36,10954.44,338.32,-78.92,417.4,198.12,-13.8,268.08,-13.8,1080.2,132.28,32.28,34.92,370.52,134.92,330.48,134.96
"11",11,"2000","Grayson","480","1810","49","1810","GRAYSON","Texas",49,1810,0,"480","1810",1719,-62424.16804244,-433290.35354655,"G4801810","4801810",2536123811.01,242608.326442,205.866666666667,127.466666666667,32.8333333333333,8859.46666666667,395.033333333333,12.7333333333333,382.466666666667,249.266666666667,88.1,316.7,88.1,1061.9,163.033333333333,54.2333333333333,36.2,371.8,174.733333333333,243.3,174.733333333333
"12",12,"2000","Mitchell","200","1230","32","1230","MITCHELL","Kansas",32,1230,0,"200","1230",1053,-188538.0143773,214387.64771905,"G2001230","2001230",1861223431.19,173446.792484,152.178571428571,145.357142857143,31.7142857142857,10882.5714285714,375.071428571429,-75.1785714285714,450.571428571429,260.392857142857,8.39285714285714,289.535714285714,8.39285714285714,755.714285714286,120.928571428571,12.6428571428571,55.2857142857143,329.678571428571,57.5357142857143,291.107142857143,57.5357142857143
"13",13,"2000","Bienville","220","0130","45","130","BIENVILLE","Louisiana",45,130,0,"220","0130",216,275621.3432225,-572037.29736455,"G2200130","2200130",2128393205.43,242374.715335,207.333333333333,134.740740740741,37.8148148148148,7841.62962962963,370.62962962963,18.2222222222222,352.481481481481,285.481481481481,266.666666666667,302.185185185185,99.1481481481482,1437.07407407407,153.851851851852,75,16.1851851851852,409.111111111111,307.296296296296,354.518518518519,363.592592592593
"14",14,"2000","Wayne","420","1270","14","1270","WAYNE","Pennsylvania",14,1270,0,"420","1270",931,1697713.97531393,650373.14996212,"G4201270","4201270",1943867869.9,261762.073442,114.566666666667,120.7,30.5,9763,317.333333333333,-72.9666666666667,390.133333333333,224.866666666667,1.8,236.4,-14.4333333333333,1240.7,125.966666666667,81.4666666666667,13.1666666666667,342.866666666667,280.433333333333,342.733333333333,293
"15",15,"2000","Harnett","370","0850","47","850","HARNETT","North Carolina",47,850,0,"370","0850",1090,1534834.54884096,-100015.52412767,"G3700850","3700850",1557371624.39,179006.888999,190.333333333333,130,36.8571428571429,8145.61904761905,356.380952380952,6.95238095238095,349.47619047619,290.238095238095,146.380952380952,290.238095238095,79.6666666666667,1385.14285714286,187.52380952381,53.2380952380952,30.6190476190476,501.857142857143,234.190476190476,501.857142857143,311.809523809524
"16",16,"2000","Barron","550","0050","25","50","BARRON/DALLAS","Wisconsin",25,50,0,"550","0050",1896,324751.42783122,893142.59761328,"G5500050","5500050",2305106414.3,191958.152155,98.1627906976744,124.162790697674,26.2558139534884,11766.3720930233,326.627906976744,-138.906976744186,465.581395348837,206.651162790698,-63.4883720930233,241.372093023256,-63.4883720930233,958.720930232558,128.418604651163,24.2558139534884,43.2093023255814,336.488372093023,95.4186046511628,326.813953488372,95.4186046511628
"17",17,"2000","Blanco","480","0310","49","310","BLANCO","Texas",49,310,0,"480","0310",1655,-230536.51701471,-804944.42799379,"G4800310","4800310",1847759021.67,176094.468254,219,139.291666666667,38.2083333333333,7629.29166666667,389.875,29.9583333333333,360.041666666667,260.791666666667,133.375,311.458333333333,115.416666666667,815.791666666667,124.291666666667,34.75,42.375,288.458333333333,125.291666666667,194.791666666667,136.083333333333
"18",18,"2000","Franklin","250","0110","3","110","FRANKLIN","Massachusetts",3,110,0,"250","0110",2759,1890396.1208912,803333.20263311,"G2500110","2500110",1877039173.66,252500.588034,116.322580645161,125.258064516129,30.4516129032258,9841.1935483871,328.41935483871,-75.5483870967742,403.903225806452,11.9354838709677,194.548387096774,240.41935483871,-14.1290322580645,1285.87096774194,134.387096774194,81.7096774193548,14.5806451612903,361.741935483871,282.935483870968,303.451612903226,335.645161290323
"19",19,"2000","Hand","460","0590","37","590","HAND","South Dakota",37,590,0,"460","0590",2823,-238172.63519951,792284.44161968,"G4600590","4600590",3730089659.42,253292.509828,105.916666666667,136.708333333333,27.8333333333333,12014.3472222222,348.680555555556,-133.638888888889,482.263888888889,176.458333333333,-47.7361111111111,257.444444444444,-52.8333333333333,569.944444444444,91.1111111111111,9.70833333333333,56.2777777777778,247.541666666667,38.9861111111111,216.902777777778,39.0555555555556
"20",20,"2000","Otsego","360","0770","13","770","OTSEGO","New York",13,770,0,"360","0770",2491,1695412.47609164,762772.69937584,"G3600770","3600770",2629077884.25,273752.58533,109.365853658537,118.975609756098,30.2439024390244,9867.34146341463,315.121951219512,-72.609756097561,387.80487804878,58.609756097561,-4.58536585365854,232.365853658537,-19.8292682926829,1160.58536585366,117.731707317073,72.8292682926829,13.0487804878049,318.707317073171,255.341463414634,295.048780487805,262.365853658537
"21",21,"2000","Carroll","390","0190","24","190","CARROLL","Ohio",24,190,0,"390","0190",1194,1246431.74191297,443099.61306053,"G3900190","3900190",1033420238.2,144108.939181,137.388888888889,123.944444444444,31,9837.55555555555,342.833333333333,-50.8333333333333,393.722222222222,233.277777777778,6.61111111111111,257.666666666667,6.61111111111111,1117.55555555556,115.777777777778,67.3333333333333,17.3888888888889,327.277777777778,235.222222222222,316.944444444444,235.222222222222
"22",22,"2000","Addison","500","0010","6","10","ADDISON","Vermont",6,10,0,"500","0010",1434,1808438.20130728,949476.38664612,"G5000010","5000010",2093371534.47,224023.719169,110.4375,119.3125,28.90625,10173.375,323.5625,-80.90625,404.59375,55.6875,-5.6875,238.15625,-23.96875,1096.4375,114.75,68.40625,14.5,304.71875,232.65625,278.8125,241.1875
"23",23,"2000","Anson","370","0070","47","70","ANSON","North Carolina",47,70,0,"370","0070",2514,1432765.43687344,-162799.67153627,"G3700070","3700070",1391165935.05,175375.133837,193.210526315789,135.894736842105,37.6315789473684,8116.52631578947,364.947368421053,8.1578947368421,356.842105263158,292.947368421053,149.421052631579,292.947368421053,82.3684210526316,1403.94736842105,179.894736842105,56.1578947368421,28.8421052631579,495.842105263158,237.526315789474,495.842105263158,325.789473684211
"24",24,"2000","Donley","480","1290","49","1290","DONLEY","Texas",49,1290,0,"480","1290",1697,-435759.21731178,-272823.64868046,"G4801290","4801290",2416588347.62,196703.019286,185.542857142857,162.4,37.3428571428571,9399.68571428571,397.742857142857,-31.8,429.542857142857,277.285714285714,63.1142857142857,304.2,63.1142857142857,549.6,96.3142857142857,15.7714285714286,56.9428571428571,241.342857142857,50.2,209.228571428571,50.2285714285714
"25",25,"2000","Giles","510","0710","40","710","GILES","Virginia",40,710,0,"510","0710",2659,1337061.64918206,86997.24850125,"G5100710","5100710",933430942.273,157449.55852,144.4375,136,34.625,8842.3125,342.875,-44.3125,387.25,253.625,91.8125,253.625,25.875,1105.5,121.375,70.375,15.0625,323.875,238.375,322.625,244.4375
"26",26,"2000","Morehouse","220","0670","45","670","MOREHOUSE","Louisiana",45,670,0,"220","0670",239,390649.74593003,-514902.72167004,"G2200670","2200670",2085472779.07,264600.118644,207.074074074074,130.851851851852,36.5185185185185,8064.92592592593,371.444444444444,18.7037037037037,352.518518518519,207.592592592593,268.185185185185,304.962962962963,96.3703703703704,1457.11111111111,148.62962962963,73.6296296296296,16.7037037037037,424.296296296296,280.407407407407,341.851851851852,383
