"","PID","DECADE","NHGISNAM","NHGISST","NHGISCTY","ICPSRST","ICPSRCTY","ICPSRNAM","STATENAM","ICPSRSTI","ICPSRCTYI","ICPSRFIP","STATE","COUNTY","PID.1","X_CENTROID","Y_CENTROID","GISJOIN","GISJOIN2","SHAPE_AREA","SHAPE_LEN","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
"1",1,"2000","Smith","200","1830","32","1830","SMITH","Kansas",32,1830,0,"200","1830",1078,-236386.08924836,259566.56637283,"G2001830","2001830",2321990595.17,192755.580315,130.571428571429,143.542857142857,32.0285714285714,10497.5714285714,354.6,-87.0571428571429,441.8,236.685714285714,-6.54285714285714,264.257142857143,-6.54285714285714,628.314285714286,96.1714285714286,13.1714285714286,51.5428571428571,250.742857142857,45.1428571428571,229.942857142857,45.1428571428571
"2",2,"2000","Holmes","390","0750","24","750","HOLMES","Ohio",24,750,0,"390","0750",1218,1177073.36621582,430366.4719662,"G3900750","3900750",1098202255.19,146352.779149,118.842105263158,115.421052631579,31.3684210526316,8978,305.157894736842,-57.5789473684211,362.736842105263,209.736842105263,-0.263157894736842,230.473684210526,-0.263157894736842,1031.52631578947,110.578947368421,60.2105263157895,17.9473684210526,312.736842105263,210.263157894737,310.473684210526,210.263157894737
"3",3,"2000","Pamlico","370","1370","47","1370","PAMLICO","North Carolina",47,1370,0,"370","1370",1114,1727492.09935188,-88641.38018658,"G3701370","3701370",883598335.48,620941.951268,185.666666666667,111,35.3333333333333,7218.25,334.083333333333,24.75,309.166666666667,272.083333333333,162.916666666667,275.75,91,1463.16666666667,160.25,95.25,18,467.75,317.583333333333,422.083333333333,346.25
"4",4,"2000","Gratiot","260","0570","23","570","GRATIOT","Michigan",23,570,0,"260","0570",2792,917917.50149998,703692.34475343,"G2600570","2600570",1480443054.17,154795.103298,105.9,110.066666666667,28.6333333333333,9509.8,307.333333333333,-71.6333333333333,378.9,157.333333333333,-17.9666666666667,225.1,-17.9666666666667,861.966666666667,99.7,38.3666666666667,25.1,269.366666666667,142.7,255.166666666667,142.7
"5",5,"2000","Glacier","300","0350","64","350","GLACIER","Montana",64,350,0,"300","0350",1350,-1258123.57901213,1361812.42546868,"G3000350","3000350",7865622540.15,459100.105154,56.7720588235294,128.272058823529,33.8897058823529,8197.29411764706,261.014705882353,-112.536764705882,373.588235294118,111.904411764706,3.18382352941176,163.816176470588,-45.3823529411765,490.808823529412,74.3014705882353,24.5220588235294,42.4632352941176,186.955882352941,83.4779411764706,150.610294117647,89.5147058823529
"6",6,"2000","Sussex","340","0370","12","370","SUSSEX","New Jersey",12,370,0,"340","0370",2426,1759833.86335371,605943.89222482,"G3400370","3400370",1388199887.92,159312.925121,112.05,120.95,31.9,8909.25,300.9,-71.3,372.35,158.3,3.9,223.65,-5.6,1296.45,127.3,87.25,12.2,362.95,291.65,331.4,297
"7",7,"2000","Chickasaw","280","0170","46","170","CHICKASAW","Mississippi",46,170,0,"280","0170",2234,646695.42753708,-376655.29191443,"G2800170","2800170",1306055447.59,161719.982426,183.611111111111,127.388888888889,37.8333333333333,7649,347.222222222222,15.1111111111111,332.222222222222,135.722222222222,240.944444444444,278.611111111111,83.2222222222222,1585.33333333333,178.388888888889,83.1111111111111,21.6666666666667,481,287,334.611111111111,463.555555555556
"8",8,"2000","Canadian","400","0170","53","170","CANADIAN","Oklahoma",53,170,0,"400","0170",656,-178162.93911155,-217409.00254356,"G4000170","4000170",2344387085.34,210853.064017,171.694444444444,130.805555555556,33.6388888888889,9112.88888888889,361.194444444444,-21.9166666666667,383.055555555556,218.277777777778,52.1111111111111,284.805555555556,52.1111111111111,774.333333333333,129.027777777778,28.3055555555556,41.3888888888889,300.194444444444,101.888888888889,213.972222222222,101.888888888889
"9",9,"2000","Pleasants","540","0730","56","730","PLEASANTS","West Virginia",56,730,0,"540","0730",1877,1261602.47998884,308391.80452569,"G5400730","5400730",348581162.392,109267.123265,134,127.2,34.6,8635.8,315.8,-46.4,362.2,237,147.4,241,19,1115.6,113.4,65.6,14.6,316.8,230,316.8,259.6
"10",10,"2000","Knox","170","0950","21","950","KNOX","Illinois",21,950,0,"170","0950",622,483032.35630255,399261.72482269,"G1700950","1700950",1863999994.49,173985.63714,123.8,111.92,27.4,10216.88,321.4,-78.6,400.08,182.2,-14.48,248.44,-14.48,1004.08,118.08,37.08,29.68,327.48,142.8,320.84,142.8
