"","PID","DECADE","NHGISNAM","NHGISST","NHGISCTY","ICPSRST","ICPSRCTY","ICPSRNAM","STATENAM","ICPSRSTI","ICPSRCTYI","ICPSRFIP","STATE","COUNTY","PID.1","X_CENTROID","Y_CENTROID","GISJOIN","GISJOIN2","SHAPE_AREA","SHAPE_LEN","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
"1",1,"2000","Smith","200","1830","32","1830","SMITH","Kansas",32,1830,0,"200","1830",1078,-236386.08924836,259566.56637283,"G2001830","2001830",2321990595.17,192755.580315,152.4,152.342857142857,35.3142857142857,9536.48571428571,380.8,-44.9142857142857,425.828571428571,260.914285714286,37.4857142857143,281.314285714286,37.4857142857143,655.457142857143,104.342857142857,13.7428571428571,54.9142857142857,255.171428571429,45.2571428571429,211.342857142857,45.2571428571429
"2",2,"2000","Holmes","390","0750","24","750","HOLMES","Ohio",24,750,0,"390","0750",1218,1177073.36621582,430366.4719662,"G3900750","3900750",1098202255.19,146352.779149,134.052631578947,122.157894736842,30.1052631578947,9484.15789473684,351.842105263158,-46.8947368421053,398.736842105263,116.578947368421,15.5789473684211,256.526315789474,15.5789473684211,1037.36842105263,117.263157894737,57.2631578947368,22.7368421052632,335,215.684210526316,251.789473684211,215.736842105263
"3",3,"2000","Pamlico","370","1370","47","1370","PAMLICO","North Carolina",47,1370,0,"370","1370",1114,1727492.09935188,-88641.38018658,"G3701370","3701370",883598335.48,620941.951268,190.666666666667,114.333333333333,35.5,7375.75,343.583333333333,25.1666666666667,318.25,279.166666666667,158.166666666667,281.833333333333,94.5833333333333,1286.58333333333,142.5,75.3333333333333,16.25,391,273.916666666667,361.5,302
"4",4,"2000","Gratiot","260","0570","23","570","GRATIOT","Michigan",23,570,0,"260","0570",2792,917917.50149998,703692.34475343,"G2600570","2600570",1480443054.17,154795.103298,121.433333333333,117.3,29.3333333333333,9614.03333333333,342.2,-50.5333333333333,392.666666666667,111.366666666667,6.53333333333333,246.333333333333,3.03333333333333,824.166666666667,115.1,40.0666666666667,29.1,248.7,140,192.7,151.233333333333
"5",5,"2000","Glacier","300","0350","64","350","GLACIER","Montana",64,350,0,"300","0350",1350,-1258123.57901213,1361812.42546868,"G3000350","3000350",7865622540.15,459100.105154,79.7867647058823,136.573529411765,33.6176470588235,8430.39705882353,305.955882352941,-93.9338235294118,399.897058823529,111.029411764706,75.4411764705882,192.095588235294,-22.8382352941176,434.433823529412,67.1617647058823,16.2352941176471,46.5220588235294,179.095588235294,61.3823529411765,106.948529411765,86.625
"6",6,"2000","Sussex","340","0370","12","370","SUSSEX","New Jersey",12,370,0,"340","0370",2426,1759833.86335371,605943.89222482,"G3400370","3400370",1388199887.92,159312.925121,124.65,125.45,31.4,9297.65,331.6,-61.9,393.65,106.45,6.4,243.5,6.4,1282.6,141.95,82.2,16.8,381.55,269.4,325.9,269.4
"7",7,"2000","Chickasaw","280","0170","46","170","CHICKASAW","Mississippi",46,170,0,"280","0170",2234,646695.42753708,-376655.29191443,"G2800170","2800170",1306055447.59,161719.982426,200.222222222222,135,36.3888888888889,8096.55555555556,381.444444444444,15.2222222222222,366.333333333333,148.111111111111,288.666666666667,303.611111111111,97.3333333333333,1387.83333333333,160.222222222222,71.5555555555556,25.8333333333333,444.611111111111,237.166666666667,265.611111111111,405
"8",8,"2000","Canadian","400","0170","53","170","CANADIAN","Oklahoma",53,170,0,"400","0170",656,-178162.93911155,-217409.00254356,"G4000170","4000170",2344387085.34,210853.064017,189.388888888889,137.972222222222,35.25,8782.36111111111,384.138888888889,-1.97222222222222,386.111111111111,253.75,79.25,304.75,79.25,866.083333333333,182.972222222222,32.6944444444444,54.1666666666667,363.388888888889,110.222222222222,237.361111111111,110.222222222222
"9",9,"2000","Pleasants","540","0730","56","730","PLEASANTS","West Virginia",56,730,0,"540","0730",1877,1261602.47998884,308391.80452569,"G5400730","5400730",348581162.392,109267.123265,147.4,134.8,33,9203.4,360,-41,400.8,135,159.2,265,30,1129,123.8,69.2,19.2,352.8,248.8,274.4,252.8
"10",10,"2000","Knox","170","0950","21","950","KNOX","Illinois",21,950,0,"170","0950",622,483032.35630255,399261.72482269,"G1700950","1700950",1863999994.49,173985.63714,141.08,118.64,28.28,10070.28,358.84,-52.52,411.48,128.56,13.04,270.24,13.04,981,150.96,37.88,36,342.56,143.72,255.4,143.76
