"","PID","DECADE","NHGISNAM","NHGISST","NHGISCTY","ICPSRST","ICPSRCTY","ICPSRNAM","STATENAM","ICPSRSTI","ICPSRCTYI","ICPSRFIP","STATE","COUNTY","PID.1","X_CENTROID","Y_CENTROID","GISJOIN","GISJOIN2","SHAPE_AREA","SHAPE_LEN","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
"1",1,"2000","Smith","200","1830","32","1830","SMITH","Kansas",32,1830,0,"200","1830",1078,-236386.08924836,259566.56637283,"G2001830","2001830",2321990595.17,192755.580315,151.857142857143,146.914285714286,33.4857142857143,10083.2285714286,374,-58.2571428571429,432.4,254.542857142857,22.2571428571429,283.342857142857,22.2571428571429,633.428571428571,112.685714285714,15.6857142857143,52.4,257.114285714286,49.9714285714286,205.971428571429,49.9714285714286
"2",2,"2000","Holmes","390","0750","24","750","HOLMES","Ohio",24,750,0,"390","0750",1218,1177073.36621582,430366.4719662,"G3900750","3900750",1098202255.19,146352.779149,137.578947368421,120.157894736842,29.8947368421053,9769.63157894737,350.684210526316,-43.7894736842105,394.526315789474,122.368421052632,43.5789473684211,260.947368421053,10.9473684210526,953.947368421053,102.842105263158,55.2105263157895,17.3684210526316,291.526315789474,202.210526315789,244.105263157895,202.473684210526
"3",3,"2000","Pamlico","370","1370","47","1370","PAMLICO","North Carolina",47,1370,0,"370","1370",1114,1727492.09935188,-88641.38018658,"G3701370","3701370",883598335.48,620941.951268,196.083333333333,110.166666666667,34.0833333333333,7508,348,29.75,318.083333333333,287.25,162.666666666667,289,97.4166666666667,1353.33333333333,152.166666666667,82.5833333333333,17.6666666666667,410,284.916666666667,401.916666666667,340.166666666667
"4",4,"2000","Gratiot","260","0570","23","570","GRATIOT","Michigan",23,570,0,"260","0570",2792,917917.50149998,703692.34475343,"G2600570","2600570",1480443054.17,154795.103298,124.7,113.966666666667,27.9666666666667,9894.33333333333,342.466666666667,-60.3,402.733333333333,170.633333333333,-1.06666666666667,250.733333333333,-1.06666666666667,799,93.0333333333333,36.3666666666667,20.8333333333333,239.433333333333,149.833333333333,190.133333333333,149.833333333333
"5",5,"2000","Glacier","300","0350","64","350","GLACIER","Montana",64,350,0,"300","0350",1350,-1258123.57901213,1361812.42546868,"G3000350","3000350",7865622540.15,459100.105154,74.6911764705882,135.117647058824,32.6397058823529,8858.05147058824,300.735294117647,-107.919117647059,408.713235294118,107.5,43.9779411764706,192.198529411765,-34.2426470588235,461.404411764706,70.5514705882353,20.2205882352941,44.75,185.897058823529,70.6397058823529,129.492647058824,86.4558823529412
"6",6,"2000","Sussex","340","0370","12","370","SUSSEX","New Jersey",12,370,0,"340","0370",2426,1759833.86335371,605943.89222482,"G3400370","3400370",1388199887.92,159312.925121,128.95,120.95,30.8,9313.95,328.6,-57.55,386.05,208.4,8,245.4,6.4,1276.25,127.15,81.25,13.25,366.5,274.8,356.15,274.95
"7",7,"2000","Chickasaw","280","0170","46","170","CHICKASAW","Mississippi",46,170,0,"280","0170",2234,646695.42753708,-376655.29191443,"G2800170","2800170",1306055447.59,161719.982426,203.333333333333,134.055555555556,35.4444444444444,8574.94444444445,394.111111111111,22.1666666666667,371.944444444444,112.277777777778,313.388888888889,313.388888888889,93.7222222222222,1366.27777777778,182.444444444444,60.4444444444444,31.6666666666667,435.777777777778,220.166666666667,220.222222222222,431.111111111111
"8",8,"2000","Canadian","400","0170","53","170","CANADIAN","Oklahoma",53,170,0,"400","0170",656,-178162.93911155,-217409.00254356,"G4000170","4000170",2344387085.34,210853.064017,189.083333333333,136.25,34.3611111111111,9082.5,384.416666666667,-6.36111111111111,390.722222222222,230.027777777778,70.9444444444444,305.527777777778,70.9444444444444,748.611111111111,135.444444444444,26.6111111111111,46,276.416666666667,95.8333333333333,167.583333333333,95.8333333333333
"9",9,"2000","Pleasants","540","0730","56","730","PLEASANTS","West Virginia",56,730,0,"540","0730",1877,1261602.47998884,308391.80452569,"G5400730","5400730",348581162.392,109267.123265,152,131,32.6,9389.6,359.2,-35,394.2,141.2,192.4,270,29.4,1046.4,102.8,69.8,13,299,234.4,267.6,245.4
"10",10,"2000","Knox","170","0950","21","950","KNOX","Illinois",21,950,0,"170","0950",622,483032.35630255,399261.72482269,"G1700950","1700950",1863999994.49,173985.63714,141.64,115.24,27,10583.6,359.44,-57.8,417.32,169.84,2.08,275.08,2.08,948.32,119.88,35.88,26.64,310.88,151,256.12,151.04
"11",11,"2000","Grayson","480","1810","49","1810","GRAYSON","Texas",49,1810,0,"480","1810",1719,-62424.16804244,-433290.35354655,"G4801810","4801810",2536123811.01,242608.326442,208.666666666667,125.533333333333,34.1666666666667,8403.1,388.133333333333,26.7333333333333,361.566666666667,197.733333333333,315.866666666667,315.866666666667,99.3333333333333,948.433333333333,132.233333333333,45.4,31.5666666666667,306.5,177.7,177.7,189.033333333333
"12",12,"2000","Mitchell","200","1230","32","1230","MITCHELL","Kansas",32,1230,0,"200","1230",1053,-188538.0143773,214387.64771905,"G2001230","2001230",1861223431.19,173446.792484,158.25,144.571428571429,32.8214285714286,10115.0357142857,380.464285714286,-51.75,432.464285714286,260.357142857143,26.9285714285714,289.464285714286,26.9285714285714,684.071428571429,116.392857142857,19.6785714285714,48.5,272.142857142857,62.2142857142857,217.321428571429,62.2142857142857
"13",13,"2000","Bienville","220","0130","45","130","BIENVILLE","Louisiana",45,130,0,"220","0130",216,275621.3432225,-572037.29736455,"G2200130","2200130",2128393205.43,242374.715335,213.925925925926,132.666666666667,36.6296296296296,8035.77777777778,390.259259259259,33.037037037037,357.148148148148,119.62962962963,311.444444444444,315.592592592593,108.888888888889,1273.55555555556,137,48.4814814814815,23.7037037037037,387.888888888889,215.407407407407,224.814814814815,385.259259259259
"14",14,"2000","Wayne","420","1270","14","1270","WAYNE","Pennsylvania",14,1270,0,"420","1270",931,1697713.97531393,650373.14996212,"G4201270","4201270",1943867869.9,261762.073442,112.766666666667,116.566666666667,29.6666666666667,9368.23333333333,311.4,-76,387.466666666667,178.466666666667,-3.66666666666667,229.133333333333,-9.8,1193.96666666667,122.633333333333,76.2333333333333,14.0333333333333,347.033333333333,254.366666666667,329.833333333333,263.3
"15",15,"2000","Harnett","370","0850","47","850","HARNETT","North Carolina",47,850,0,"370","0850",1090,1534834.54884096,-100015.52412767,"G3700850","3700850",1557371624.39,179006.888999,191.952380952381,128.047619047619,35.0952380952381,8254.7619047619,368,9.33333333333333,358.761904761905,295.904761904762,204.761904761905,295.904761904762,84.5714285714286,1216.95238095238,130.619047619048,71.1904761904762,18.9047619047619,376.52380952381,241.142857142857,376.52380952381,316.857142857143
"16",16,"2000","Barron","550","0050","25","50","BARRON/DALLAS","Wisconsin",25,50,0,"550","0050",1896,324751.42783122,893142.59761328,"G5500050","5500050",2305106414.3,191958.152155,102.046511627907,124.46511627907,26.906976744186,11363.488372093,331.139534883721,-122.860465116279,454.046511627907,213.348837209302,-50.046511627907,242.813953488372,-50.046511627907,838.116279069767,109.302325581395,24.2790697674419,36.0697674418605,296.395348837209,103.06976744186,272.511627906977,103.093023255814
"17",17,"2000","Blanco","480","0310","49","310","BLANCO","Texas",49,310,0,"480","0310",1655,-230536.51701471,-804944.42799379,"G4800310","4800310",1847759021.67,176094.468254,219.416666666667,138.125,40.9583333333333,6929.70833333333,379.416666666667,46.0833333333333,333.458333333333,287.75,126.875,304.375,126.875,787.416666666667,114.708333333333,40.2083333333333,30.8333333333333,260.791666666667,145.625,189.208333333333,145.625
"18",18,"2000","Franklin","250","0110","3","110","FRANKLIN","Massachusetts",3,110,0,"250","0110",2759,1890396.1208912,803333.20263311,"G2500110","2500110",1877039173.66,252500.588034,112.258064516129,119.903225806452,29.6451612903226,9587.25806451613,314.548387096774,-82.741935483871,397.193548387097,231.290322580645,-6.38709677419355,231.290322580645,-13.9677419354839,1314.83870967742,126.032258064516,86.4516129032258,12.5806451612903,370.838709677419,289.41935483871,370.838709677419,305.451612903226
"19",19,"2000","Hand","460","0590","37","590","HAND","South Dakota",37,590,0,"460","0590",2823,-238172.63519951,792284.44161968,"G4600590","4600590",3730089659.42,253292.509828,117.25,137.944444444444,29.8194444444444,10932.125,354.138888888889,-100.236111111111,454.319444444444,171.652777777778,-24.5138888888889,258.027777777778,-24.5138888888889,500.805555555556,82.3888888888889,13.5694444444444,54.5833333333333,224.319444444444,41.9583333333333,176.847222222222,41.9583333333333
"20",20,"2000","Otsego","360","0770","13","770","OTSEGO","New York",13,770,0,"360","0770",2491,1695412.47609164,762772.69937584,"G3600770","3600770",2629077884.25,273752.58533,105.073170731707,114.243902439024,28.780487804878,9468.65853658537,305.317073170732,-84.2926829268293,389.634146341463,197.585365853659,-13.5365853658537,222.756097560976,-17.3170731707317,1133.34146341463,113.707317073171,66.7073170731707,14.6341463414634,329.756097560976,230.634146341463,318.317073170732,238.707317073171
"21",21,"2000","Carroll","390","0190","24","190","CARROLL","Ohio",24,190,0,"390","0190",1194,1246431.74191297,443099.61306053,"G3900190","3900190",1033420238.2,144108.939181,139.888888888889,120.666666666667,30.2777777777778,9637.66666666667,349.833333333333,-41.1666666666667,390.944444444444,125.055555555556,218.666666666667,261,14.6111111111111,957.555555555556,96.4444444444444,57.4444444444444,16.9444444444444,285.277777777778,202.833333333333,244.5,212
"22",22,"2000","Addison","500","0010","6","10","ADDISON","Vermont",6,10,0,"500","0010",1434,1808438.20130728,949476.38664612,"G5000010","5000010",2093371534.47,224023.719169,104.21875,114.4375,27.65625,9933.34375,309.40625,-97.5625,407.03125,227.875,-19.625,227.875,-25.6875,1104.34375,115.875,60.34375,18.25,334.84375,204.90625,334.84375,222.4375
"23",23,"2000","Anson","370","0070","47","70","ANSON","North Carolina",47,70,0,"370","0070",2514,1432765.43687344,-162799.67153627,"G3700070","3700070",1391165935.05,175375.133837,195.947368421053,132.368421052632,35.8947368421053,8273.05263157895,375.789473684211,10.8947368421053,364.947368421053,300.105263157895,208.894736842105,300.105263157895,88.0526315789474,1211.52631578947,124.684210526316,72.6315789473684,16.4210526315789,358.421052631579,255.210526315789,358.421052631579,322.631578947368
"24",24,"2000","Donley","480","1290","49","1290","DONLEY","Texas",49,1290,0,"480","1290",1697,-435759.21731178,-272823.64868046,"G4801290","4801290",2416588347.62,196703.019286,185.942857142857,157.6,39.1714285714286,8591.25714285714,379.685714285714,-17.4,397.142857142857,273.971428571429,75.5142857142857,294.771428571429,72.5428571428571,503.885714285714,85.1714285714286,11.3428571428571,50.7714285714286,193.685714285714,48.9714285714286,162.885714285714,49.0571428571429
