"","PID","DECADE","NHGISNAM","NHGISST","NHGISCTY","ICPSRST","ICPSRCTY","ICPSRNAM","STATENAM","ICPSRSTI","ICPSRCTYI","ICPSRFIP","STATE","COUNTY","PID.1","X_CENTROID","Y_CENTROID","GISJOIN","GISJOIN2","SHAPE_AREA","SHAPE_LEN","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
"1",1,"2000","Smith","200","1830","32","1830","SMITH","Kansas",32,1830,0,"200","1830",1078,-236386.08924836,259566.56637283,"G2001830","2001830",2321990595.17,192755.580315,145.228571428571,147.514285714286,33.6285714285714,9853.45714285714,365.4,-67,432.514285714286,246.428571428571,16.2,271.542857142857,16.2,719.228571428571,114.285714285714,14.2857142857143,53.8571428571429,298.714285714286,56.4571428571429,274.257142857143,56.4571428571429
"2",2,"2000","Holmes","390","0750","24","750","HOLMES","Ohio",24,750,0,"390","0750",1218,1177073.36621582,430366.4719662,"G3900750","3900750",1098202255.19,146352.779149,134.105263157895,116.947368421053,30.2631578947368,9378.1052631579,332.105263157895,-47.5789473684211,379.789473684211,224.736842105263,31.5789473684211,252.368421052632,10.7368421052632,1075.15789473684,112.947368421053,65.6315789473684,16.9473684210526,329.210526315789,228.105263157895,296.736842105263,228.421052631579
"3",3,"2000","Pamlico","370","1370","47","1370","PAMLICO","North Carolina",47,1370,0,"370","1370",1114,1727492.09935188,-88641.38018658,"G3701370","3701370",883598335.48,620941.951268,194.75,111.083333333333,35.0833333333333,7397.5,344.5,31.75,312.583333333333,287.166666666667,160.916666666667,287.166666666667,97.6666666666667,1355.66666666667,149.5,75.4166666666667,19.75,412.166666666667,271.25,412.166666666667,354.75
"4",4,"2000","Gratiot","260","0570","23","570","GRATIOT","Michigan",23,570,0,"260","0570",2792,917917.50149998,703692.34475343,"G2600570","2600570",1480443054.17,154795.103298,120.133333333333,112,28,9671.83333333333,328.066666666667,-67.0666666666667,395.066666666667,167.366666666667,0.0666666666666667,243.6,-5.06666666666667,881.733333333333,101.766666666667,39.4333333333333,21.8666666666667,267.033333333333,159.866666666667,218.733333333333,162.466666666667
"5",5,"2000","Glacier","300","0350","64","350","GLACIER","Montana",64,350,0,"300","0350",1350,-1258123.57901213,1361812.42546868,"G3000350","3000350",7865622540.15,459100.105154,71.2720588235294,134.764705882353,32.5367647058824,8879.85294117647,290.602941176471,-118.235294117647,408.911764705882,108.191176470588,68.2352941176471,185.286764705882,-39.7867647058824,471.977941176471,77.2132352941177,20.9852941176471,46.5441176470588,190.757352941176,70.7941176470588,144.955882352941,94.9117647058823
"6",6,"2000","Sussex","340","0370","12","370","SUSSEX","New Jersey",12,370,0,"340","0370",2426,1759833.86335371,605943.89222482,"G3400370","3400370",1388199887.92,159312.925121,126.85,120,31.45,9119.9,316.5,-59.35,375.8,242.15,14.05,242.15,6.85,1365.9,132,90.05,10.4,382.2,295.6,382.2,308.8
"7",7,"2000","Chickasaw","280","0170","46","170","CHICKASAW","Mississippi",46,170,0,"280","0170",2234,646695.42753708,-376655.29191443,"G2800170","2800170",1306055447.59,161719.982426,200.444444444444,133.111111111111,36.1111111111111,8183.66666666667,384,20.2222222222222,363.888888888889,93.8333333333333,263.5,304.444444444444,93.8333333333333,1442.72222222222,172.166666666667,69.3333333333333,27.8333333333333,470.944444444444,240.444444444444,255.277777777778,470.944444444444
"8",8,"2000","Canadian","400","0170","53","170","CANADIAN","Oklahoma",53,170,0,"400","0170",656,-178162.93911155,-217409.00254356,"G4000170","4000170",2344387085.34,210853.064017,184.833333333333,136.861111111111,34.5555555555556,8757.91666666667,380.583333333333,-10.5555555555556,391.083333333333,230.888888888889,69.5555555555556,295.944444444444,69.5555555555556,830.611111111111,132.25,29.6111111111111,44.9444444444444,315,105.5,209.388888888889,105.5
"9",9,"2000","Pleasants","540","0730","56","730","PLEASANTS","West Virginia",56,730,0,"540","0730",1877,1261602.47998884,308391.80452569,"G5400730","5400730",348581162.392,109267.123265,149.4,128,33.4,9058.4,342,-35.8,377.6,236,209.8,263,29,1174.8,116.2,86,10.4,331.4,261.6,304.2,288.4
"10",10,"2000","Knox","170","0950","21","950","KNOX","Illinois",21,950,0,"170","0950",622,483032.35630255,399261.72482269,"G1700950","1700950",1863999994.49,173985.63714,135.88,113.04,27,10372.36,341.44,-69.52,411.08,192.04,-4.04,264.32,-4.04,1052.44,128.72,42.68,28,352,159.96,310.24,159.96
"11",11,"2000","Grayson","480","1810","49","1810","GRAYSON","Texas",49,1810,0,"480","1810",1719,-62424.16804244,-433290.35354655,"G4801810","4801810",2536123811.01,242608.326442,205.9,125.366666666667,34.3,8147.3,382.533333333333,22.7333333333333,359.8,247.333333333333,112.566666666667,309.433333333333,98.6333333333333,1016.23333333333,140.233333333333,44.7,35.5333333333333,346.233333333333,187.333333333333,196.833333333333,187.466666666667
