"","PID","DECADE","NHGISNAM","NHGISST","NHGISCTY","ICPSRST","ICPSRCTY","ICPSRNAM","STATENAM","ICPSRSTI","ICPSRCTYI","ICPSRFIP","STATE","COUNTY","PID.1","X_CENTROID","Y_CENTROID","GISJOIN","GISJOIN2","SHAPE_AREA","SHAPE_LEN","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
"1",1,"2000","Smith","200","1830","32","1830","SMITH","Kansas",32,1830,0,"200","1830",1078,-236386.08924836,259566.56637283,"G2001830","2001830",2321990595.17,192755.580315,133.514285714286,152.314285714286,31.1714285714286,10828.7142857143,381.114285714286,-100.428571428571,481.657142857143,185.571428571429,-8.57142857142857,272.285714285714,-8.57142857142857,570.571428571429,96.7428571428571,9.71428571428571,56.3714285714286,237.085714285714,36.8285714285714,201,36.8285714285714
"2",2,"2000","Holmes","390","0750","24","750","HOLMES","Ohio",24,750,0,"390","0750",1218,1177073.36621582,430366.4719662,"G3900750","3900750",1098202255.19,146352.779149,112.421052631579,117.473684210526,31.4736842105263,8908.31578947369,304.210526315789,-63.5789473684211,367.789473684211,204.315789473684,-6.73684210526316,223.526315789474,-6.73684210526316,903.421052631579,117.578947368421,45.5789473684211,30.6842105263158,311.263157894737,148.210526315789,278.421052631579,148.210526315789
"3",3,"2000","Pamlico","370","1370","47","1370","PAMLICO","North Carolina",47,1370,0,"370","1370",1114,1727492.09935188,-88641.38018658,"G3701370","3701370",883598335.48,620941.951268,177.333333333333,109.25,35.4166666666667,7336.41666666667,325.916666666667,20.9166666666667,304.666666666667,268.25,134.916666666667,268.25,79.1666666666667,1289.75,164.666666666667,70.1666666666667,26.8333333333333,445.833333333333,233.666666666667,445.833333333333,271.833333333333
"4",4,"2000","Gratiot","260","0570","23","570","GRATIOT","Michigan",23,570,0,"260","0570",2792,917917.50149998,703692.34475343,"G2600570","2600570",1480443054.17,154795.103298,99.4333333333333,112.966666666667,29.2666666666667,9302.96666666667,306.7,-73.1666666666667,379.866666666667,150.433333333333,-8.93333333333333,216.966666666667,-22.4333333333333,733.133333333333,84.6,33.3666666666667,24.5333333333333,240,128.8,194.633333333333,132.133333333333
"5",5,"2000","Glacier","300","0350","64","350","GLACIER","Montana",64,350,0,"300","0350",1350,-1258123.57901213,1361812.42546868,"G3000350","3000350",7865622540.15,459100.105154,57.0367647058824,135.698529411765,32.5294117647059,7977.86764705882,281.875,-129.875,411.823529411765,91.3455882352941,32.8088235294118,162.375,-41.875,444.772058823529,71.9852941176471,18.4779411764706,48.8455882352941,186.367647058824,68.3676470588235,129.742647058824,83.0661764705882
"6",6,"2000","Sussex","340","0370","12","370","SUSSEX","New Jersey",12,370,0,"340","0370",2426,1759833.86335371,605943.89222482,"G3400370","3400370",1388199887.92,159312.925121,103.65,117.35,30.95,8955.35,294.85,-78.1,373.1,201.85,-16.9,215.8,-16.9,1137.05,128.5,68.85,21.45,342.4,208.85,341.05,208.85
"7",7,"2000","Chickasaw","280","0170","46","170","CHICKASAW","Mississippi",46,170,0,"280","0170",2234,646695.42753708,-376655.29191443,"G2800170","2800170",1306055447.59,161719.982426,181.444444444444,130.222222222222,35.5,8127.77777777778,366.555555555556,5.27777777777778,361.222222222222,182.333333333333,247.055555555556,280.722222222222,73.3333333333333,1290.77777777778,171.055555555556,57.1666666666667,31.2777777777778,470.111111111111,201.611111111111,270.055555555556,305.166666666667
"8",8,"2000","Canadian","400","0170","53","170","CANADIAN","Oklahoma",53,170,0,"400","0170",656,-178162.93911155,-217409.00254356,"G4000170","4000170",2344387085.34,210853.064017,172.666666666667,132.583333333333,31.1111111111111,9271.33333333333,379.055555555556,-40.1944444444444,419.25,217.75,50.1944444444444,289.583333333333,50.1944444444444,720.277777777778,119.916666666667,19,51.9722222222222,309.527777777778,79.1666666666667,202.055555555556,79.1666666666667
"9",9,"2000","Pleasants","540","0730","56","730","PLEASANTS","West Virginia",56,730,0,"540","0730",1877,1261602.47998884,308391.80452569,"G5400730","5400730",348581162.392,109267.123265,128,126.4,34,8592.6,313,-52,364.6,216,12.2,234.2,12.2,1025.6,120.8,54.4,26,329,184.4,320.6,184.4
"10",10,"2000","Knox","170","0950","21","950","KNOX","Illinois",21,950,0,"170","0950",622,483032.35630255,399261.72482269,"G1700950","1700950",1863999994.49,173985.63714,120.76,117.48,26.44,10474.44,341.36,-92.72,434.16,178.6,-21.4,249.44,-21.4,862.52,112.68,31,33.24,296.72,119.04,268.88,119.08
"11",11,"2000","Grayson","480","1810","49","1810","GRAYSON","Texas",49,1810,0,"480","1810",1719,-62424.16804244,-433290.35354655,"G4801810","4801810",2536123811.01,242608.326442,191.6,121.1,30.8666666666667,8472.36666666667,382.933333333333,-2.26666666666667,385.366666666667,234.1,94.1333333333333,296.033333333333,78.8333333333333,904.2,120.466666666667,29.2333333333333,42.5,353.533333333333,136.966666666667,204.833333333333,139.433333333333
"12",12,"2000","Mitchell","200","1230","32","1230","MITCHELL","Kansas",32,1230,0,"200","1230",1053,-188538.0143773,214387.64771905,"G2001230","2001230",1861223431.19,173446.792484,140.535714285714,148.285714285714,30.4642857142857,10846.1428571429,386.357142857143,-93.6428571428571,480.25,213.678571428571,-2.39285714285714,279.107142857143,-2.39285714285714,617.321428571429,98.6071428571429,11.75,51.7142857142857,249.285714285714,46.6785714285714,217.928571428571,46.6785714285714
"13",13,"2000","Bienville","220","0130","45","130","BIENVILLE","Louisiana",45,130,0,"220","0130",216,275621.3432225,-572037.29736455,"G2200130","2200130",2128393205.43,242374.715335,192.62962962963,130.962962962963,35.6296296296296,7823.22222222222,373.222222222222,11.037037037037,362.111111111111,216.222222222222,257.407407407407,286.407407407407,86.8148148148148,1255.37037037037,146.333333333333,48.3333333333333,27.1481481481481,405.333333333333,207.592592592593,295.851851851852,289.333333333333
"14",14,"2000","Wayne","420","1270","14","1270","WAYNE","Pennsylvania",14,1270,0,"420","1270",931,1697713.97531393,650373.14996212,"G4201270","4201270",1943867869.9,261762.073442,87.7,112.333333333333,30.2666666666667,8873.93333333333,274.733333333333,-90.1,364.666666666667,148.366666666667,-31.7333333333333,198,-31.7333333333333,1075.1,126.8,63.3333333333333,20.1,325.6,200.566666666667,309.066666666667,200.566666666667
"15",15,"2000","Harnett","370","0850","47","850","HARNETT","North Carolina",47,850,0,"370","0850",1090,1534834.54884096,-100015.52412767,"G3700850","3700850",1557371624.39,179006.888999,168.095238095238,122.857142857143,37,7842.61904761905,329.333333333333,0.714285714285714,328.619047619048,265.761904761905,116.333333333333,265.761904761905,63.3333333333333,1154.19047619048,135.809523809524,68.0952380952381,23.1428571428571,385.428571428571,215.142857142857,385.428571428571,246.142857142857
"16",16,"2000","Barron","550","0050","25","50","BARRON/DALLAS","Wisconsin",25,50,0,"550","0050",1896,324751.42783122,893142.59761328,"G5500050","5500050",2305106414.3,191958.152155,79.9767441860465,123.720930232558,26.3488372093023,10977.1627906977,305.604651162791,-155.813953488372,461.46511627907,172.790697674419,-70.7441860465116,215.162790697674,-70.7441860465116,777.418604651163,111.348837209302,26.1395348837209,44.1860465116279,305.697674418605,91.0232558139535,276.883720930233,91.0232558139535
