"","PID","DECADE","NHGISNAM","NHGISST","NHGISCTY","ICPSRST","ICPSRCTY","ICPSRNAM","STATENAM","ICPSRSTI","ICPSRCTYI","ICPSRFIP","STATE","COUNTY","PID.1","X_CENTROID","Y_CENTROID","GISJOIN","GISJOIN2","SHAPE_AREA","SHAPE_LEN","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
"1",1,"2000","Smith","200","1830","32","1830","SMITH","Kansas",32,1830,0,"200","1830",1078,-236386.08924836,259566.56637283,"G2001830","2001830",2321990595.17,192755.580315,148.028571428571,140.4,32.4,10551,366.371428571429,-60.4571428571429,426.971428571429,255.142857142857,12.6,283.6,12.6,620.828571428571,86.9714285714286,13.1714285714286,49.9142857142857,253.4,45.6857142857143,234.828571428571,45.6857142857143
"2",2,"2000","Holmes","390","0750","24","750","HOLMES","Ohio",24,750,0,"390","0750",1218,1177073.36621582,430366.4719662,"G3900750","3900750",1098202255.19,146352.779149,133.368421052632,110.684210526316,31.1578947368421,8880.42105263158,317.157894736842,-32.5789473684211,349.736842105263,223.157894736842,17.5789473684211,245.368421052632,17.5789473684211,1024.84210526316,105.105263157895,58.4210526315789,16.8947368421053,303.263157894737,209.894736842105,296.473684210526,209.894736842105
"3",3,"2000","Pamlico","370","1370","47","1370","PAMLICO","North Carolina",47,1370,0,"370","1370",1114,1727492.09935188,-88641.38018658,"G3701370","3701370",883598335.48,620941.951268,196.25,104.166666666667,34,7298.08333333333,342.833333333333,41.25,301.416666666667,283.083333333333,144.666666666667,286.75,100.083333333333,1387,198.333333333333,75,33,521.833333333333,261.25,517.833333333333,277.916666666667
"4",4,"2000","Gratiot","260","0570","23","570","GRATIOT","Michigan",23,570,0,"260","0570",2792,917917.50149998,703692.34475343,"G2600570","2600570",1480443054.17,154795.103298,117.966666666667,106.8,27.9333333333333,9697.9,320.2,-56.9666666666667,377.1,191.933333333333,1,241.8,-7.06666666666667,854.8,111.133333333333,38.3666666666667,28.3,277.766666666667,142.033333333333,243.666666666667,143.333333333333
"5",5,"2000","Glacier","300","0350","64","350","GLACIER","Montana",64,350,0,"300","0350",1350,-1258123.57901213,1361812.42546868,"G3000350","3000350",7865622540.15,459100.105154,76.5735294117647,120.404411764706,33.8014705882353,8151.73529411765,277.573529411765,-74.2352941176471,351.838235294118,121.757352941176,46.6911764705882,183.808823529412,-23.1470588235294,487.213235294118,85.3455882352941,23.6397058823529,45.8529411764706,187.205882352941,80.8602941176471,166.176470588235,93
"6",6,"2000","Sussex","340","0370","12","370","SUSSEX","New Jersey",12,370,0,"340","0370",2426,1759833.86335371,605943.89222482,"G3400370","3400370",1388199887.92,159312.925121,127,114.75,31.95,8605.05,311.9,-41.6,353.65,168.8,15.95,237.15,15.95,1254.95,120.65,85.95,11.15,350.4,273.25,335.75,273.25
"7",7,"2000","Chickasaw","280","0170","46","170","CHICKASAW","Mississippi",46,170,0,"280","0170",2234,646695.42753708,-376655.29191443,"G2800170","2800170",1306055447.59,161719.982426,198.666666666667,126.444444444444,37.1666666666667,7874.5,366.611111111111,30.7222222222222,336,97.6666666666667,257.777777777778,297.777777777778,96.2222222222222,1346.33333333333,173.055555555556,68.7222222222222,22.8888888888889,397.555555555556,259.388888888889,294.888888888889,397.444444444444
"8",8,"2000","Canadian","400","0170","53","170","CANADIAN","Oklahoma",53,170,0,"400","0170",656,-178162.93911155,-217409.00254356,"G4000170","4000170",2344387085.34,210853.064017,191.083333333333,129.888888888889,33.75,9244.47222222222,378.833333333333,0.388888888888889,378.472222222222,240.916666666667,70.7777777777778,307.416666666667,70.7777777777778,759.333333333333,111.111111111111,23.8055555555556,42.4166666666667,270.361111111111,86.2777777777778,214.527777777778,86.2777777777778
"9",9,"2000","Pleasants","540","0730","56","730","PLEASANTS","West Virginia",56,730,0,"540","0730",1877,1261602.47998884,308391.80452569,"G5400730","5400730",348581162.392,109267.123265,148,121.2,34.6,8536.4,325.8,-21.2,347,205,110,255,36,1146,116,69.6,13,315.6,256.8,315.2,257.8
"10",10,"2000","Knox","170","0950","21","950","KNOX","Illinois",21,950,0,"170","0950",622,483032.35630255,399261.72482269,"G1700950","1700950",1863999994.49,173985.63714,139.04,104.08,26.76,10225.08,333.44,-49,382.52,195.64,3.6,266.16,3.6,1000.76,114.28,37.16,29.4,309.4,142.68,304.56,142.68
