"","PID","DECADE","NHGISNAM","NHGISST","NHGISCTY","ICPSRST","ICPSRCTY","ICPSRNAM","STATENAM","ICPSRSTI","ICPSRCTYI","ICPSRFIP","STATE","COUNTY","PID.1","X_CENTROID","Y_CENTROID","GISJOIN","GISJOIN2","SHAPE_AREA","SHAPE_LEN","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
"1",1,"2000","Smith","200","1830","32","1830","SMITH","Kansas",32,1830,0,"200","1830",1078,-236386.08924836,259566.56637283,"G2001830","2001830",2321990595.17,192755.580315,150.114285714286,154.428571428571,34.2571428571429,10062.6857142857,375.314285714286,-69.1428571428571,444.571428571429,253.714285714286,18.2,280.171428571429,18.2,598.771428571429,89.8571428571429,12.3714285714286,50.0571428571429,225.942857142857,49.7428571428571,212.028571428571,49.7428571428571
"2",2,"2000","Holmes","390","0750","24","750","HOLMES","Ohio",24,750,0,"390","0750",1218,1177073.36621582,430366.4719662,"G3900750","3900750",1098202255.19,146352.779149,133.368421052632,123.263157894737,33.4736842105263,8446.78947368421,316.526315789474,-46.3684210526316,362.894736842105,224.947368421053,18.1578947368421,238.631578947368,18.1578947368421,1050.73684210526,118.736842105263,65.1052631578947,18.3684210526316,309.421052631579,211.526315789474,308.210526315789,211.526315789474
"3",3,"2000","Pamlico","370","1370","47","1370","PAMLICO","North Carolina",47,1370,0,"370","1370",1114,1727492.09935188,-88641.38018658,"G3701370","3701370",883598335.48,620941.951268,193.333333333333,112.583333333333,36.25,6984.66666666667,341.333333333333,33.5833333333333,307.583333333333,277.416666666667,155.666666666667,281.166666666667,100.25,1370.58333333333,161.666666666667,73.5833333333333,24.4166666666667,463,264.75,438.5,289.583333333333
"4",4,"2000","Gratiot","260","0570","23","570","GRATIOT","Michigan",23,570,0,"260","0570",2792,917917.50149998,703692.34475343,"G2600570","2600570",1480443054.17,154795.103298,121.866666666667,119.5,30.8666666666667,9044.33333333333,321.233333333333,-61.2666666666667,382.433333333333,188.633333333333,-0.733333333333333,235.833333333333,-0.733333333333333,831.533333333333,81.6,42.4666666666667,17.0333333333333,232.766666666667,152.2,223.266666666667,152.2
"5",5,"2000","Glacier","300","0350","64","350","GLACIER","Montana",64,350,0,"300","0350",1350,-1258123.57901213,1361812.42546868,"G3000350","3000350",7865622540.15,459100.105154,69.8970588235294,133.301470588235,34.7867647058824,8202.74264705882,274.558823529412,-104.419117647059,379.014705882353,111.227941176471,36.7058823529412,174.485294117647,-36.0735294117647,500.522058823529,72.6176470588235,22.4632352941176,41.5808823529412,192.647058823529,80.5220588235294,154.367647058824,93.9558823529412
"6",6,"2000","Sussex","340","0370","12","370","SUSSEX","New Jersey",12,370,0,"340","0370",2426,1759833.86335371,605943.89222482,"G3400370","3400370",1388199887.92,159312.925121,127.2,127.3,34.1,8322.45,311.9,-55.5,367.55,231.4,20.5,231.4,13.6,1343.75,140.65,87,14.4,399.75,286.55,399.75,286.55
"7",7,"2000","Chickasaw","280","0170","46","170","CHICKASAW","Mississippi",46,170,0,"280","0170",2234,646695.42753708,-376655.29191443,"G2800170","2800170",1306055447.59,161719.982426,197.222222222222,135.833333333333,39.5555555555556,7384.33333333333,362.444444444444,23.6111111111111,338.944444444444,199.111111111111,249.777777777778,289.888888888889,99.1111111111111,1395.27777777778,151.944444444444,66.6666666666667,22.3333333333333,427.166666666667,248.166666666667,279.611111111111,400.777777777778
"8",8,"2000","Canadian","400","0170","53","170","CANADIAN","Oklahoma",53,170,0,"400","0170",656,-178162.93911155,-217409.00254356,"G4000170","4000170",2344387085.34,210853.064017,189.277777777778,137.583333333333,34.1388888888889,9027.52777777778,385.944444444444,-10.9444444444444,396.833333333333,238.75,70.3055555555556,304.5,70.3055555555556,795.861111111111,118.916666666667,23.2777777777778,42.4722222222222,282.166666666667,89.5833333333333,233.222222222222,89.5833333333333
"9",9,"2000","Pleasants","540","0730","56","730","PLEASANTS","West Virginia",56,730,0,"540","0730",1877,1261602.47998884,308391.80452569,"G5400730","5400730",348581162.392,109267.123265,148,135.2,37.6,7958,325,-32.8,357.4,247,76.2,247,39,1176.4,121,73.8,15.2,336.2,252.6,336.2,253.6
"10",10,"2000","Knox","170","0950","21","950","KNOX","Illinois",21,950,0,"170","0950",622,483032.35630255,399261.72482269,"G1700950","1700950",1863999994.49,173985.63714,140.28,119.88,29.68,9634.8,338.44,-59,397.52,192.76,7.92,260.16,7.92,937,101.76,40.72,24.72,288.68,149.72,270.44,149.72
