"","PID","DECADE","NHGISNAM","NHGISST","NHGISCTY","ICPSRST","ICPSRCTY","ICPSRNAM","STATENAM","ICPSRSTI","ICPSRCTYI","ICPSRFIP","STATE","COUNTY","PID.1","X_CENTROID","Y_CENTROID","GISJOIN","GISJOIN2","SHAPE_AREA","SHAPE_LEN","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
"1",1,"2000","Smith","200","1830","32","1830","SMITH","Kansas",32,1830,0,"200","1830",1078,-236386.08924836,259566.56637283,"G2001830","2001830",2321990595.17,192755.580315,125.942857142857,145.714285714286,31.4285714285714,10617.2285714286,352.285714285714,-103.228571428571,455.657142857143,235.771428571429,-9.94285714285714,262.228571428571,-12.1714285714286,659.8,103.142857142857,14.0857142857143,54.0857142857143,276.2,53.9142857142857,249.428571428571,53.9428571428571
"2",2,"2000","Holmes","390","0750","24","750","HOLMES","Ohio",24,750,0,"390","0750",1218,1177073.36621582,430366.4719662,"G3900750","3900750",1098202255.19,146352.779149,115.631578947368,105.315789473684,29.4210526315789,8730.84210526316,298.894736842105,-54.4736842105263,353.368421052632,208.263157894737,24.2631578947368,228,2.94736842105263,1008.78947368421,106,68.2105263157895,13.3684210526316,295.263157894737,217.578947368421,289.263157894737,219.947368421053
"3",3,"2000","Pamlico","370","1370","47","1370","PAMLICO","North Carolina",47,1370,0,"370","1370",1114,1727492.09935188,-88641.38018658,"G3701370","3701370",883598335.48,620941.951268,184.25,110.75,36.1666666666667,6994.25,331.833333333333,29.0833333333333,302.583333333333,268.25,149.5,274,95.6666666666667,1476.41666666667,180.833333333333,89.8333333333333,19.9166666666667,455.916666666667,293,449.916666666667,361.5
"4",4,"2000","Gratiot","260","0570","23","570","GRATIOT","Michigan",23,570,0,"260","0570",2792,917917.50149998,703692.34475343,"G2600570","2600570",1480443054.17,154795.103298,102.6,106.1,27.8,9384.66666666667,303.566666666667,-72.8666666666667,376.4,211.8,-16.7666666666667,223,-17.7333333333333,917.8,109.5,46.8333333333333,23.4666666666667,285.733333333333,167.733333333333,282.366666666667,168.033333333333
"5",5,"2000","Glacier","300","0350","64","350","GLACIER","Montana",64,350,0,"300","0350",1350,-1258123.57901213,1361812.42546868,"G3000350","3000350",7865622540.15,459100.105154,52.3308823529412,127.602941176471,32.9338235294118,8596.90441176471,257.286764705882,-124.411764705882,381.720588235294,106.602941176471,14.6544117647059,163.132352941176,-54.375,483.176470588235,81.7279411764706,21.6544117647059,46.4117647058824,194.272058823529,72.5882352941177,166.963235294118,89.5588235294118
"6",6,"2000","Sussex","340","0370","12","370","SUSSEX","New Jersey",12,370,0,"340","0370",2426,1759833.86335371,605943.89222482,"G3400370","3400370",1388199887.92,159312.925121,111.95,116.85,32.4,8359.9,297.8,-57.15,355.1,173,143.75,221,6.15,1238.75,119.1,93.1,7.8,321.2,291.3,319.05,307.35
"7",7,"2000","Chickasaw","280","0170","46","170","CHICKASAW","Mississippi",46,170,0,"280","0170",2234,646695.42753708,-376655.29191443,"G2800170","2800170",1306055447.59,161719.982426,180.888888888889,127.388888888889,37.6666666666667,7581.66666666667,343,7.83333333333333,335.277777777778,93.4444444444444,237.277777777778,276.666666666667,82.3888888888889,1546.22222222222,182,87.2222222222222,22.1111111111111,468.166666666667,286.944444444444,313.777777777778,441.444444444444
"8",8,"2000","Canadian","400","0170","53","170","CANADIAN","Oklahoma",53,170,0,"400","0170",656,-178162.93911155,-217409.00254356,"G4000170","4000170",2344387085.34,210853.064017,171.25,130.083333333333,32.4722222222222,9130.69444444445,365.444444444444,-29,394.416666666667,263.138888888889,53.8888888888889,288.166666666667,53.8888888888889,837.777777777778,133.138888888889,25.2777777777778,49.4444444444444,324.416666666667,104.777777777778,249.472222222222,104.777777777778
"9",9,"2000","Pleasants","540","0730","56","730","PLEASANTS","West Virginia",56,730,0,"540","0730",1877,1261602.47998884,308391.80452569,"G5400730","5400730",348581162.392,109267.123265,125.2,109.4,31.4,8311.6,298,-45.4,343.2,221.8,73.2,232.8,18,1146.2,118.2,82.6,10,318.2,260,316.8,265
"10",10,"2000","Knox","170","0950","21","950","KNOX","Illinois",21,950,0,"170","0950",622,483032.35630255,399261.72482269,"G1700950","1700950",1863999994.49,173985.63714,118.76,109.8,26.36,10353.36,319.44,-88.96,408.48,182.32,-18.16,247.28,-20.32,1010.4,119.44,48.28,27.76,335.4,166.48,308.52,166.52
"11",11,"2000","Grayson","480","1810","49","1810","GRAYSON","Texas",49,1810,0,"480","1810",1719,-62424.16804244,-433290.35354655,"G4801810","4801810",2536123811.01,242608.326442,190.8,122.3,33.0666666666667,8220.03333333333,370.033333333333,6.53333333333333,363.666666666667,232.2,85.6333333333333,296.066666666667,85.6333333333333,1072.5,162.033333333333,42.4333333333333,38.0333333333333,350.6,182.433333333333,243.7,182.433333333333
"12",12,"2000","Mitchell","200","1230","32","1230","MITCHELL","Kansas",32,1230,0,"200","1230",1053,-188538.0143773,214387.64771905,"G2001230","2001230",1861223431.19,173446.792484,133.5,143.107142857143,30.9285714285714,10629.3571428571,359.071428571429,-95.3214285714286,454.714285714286,242.785714285714,14.8928571428571,269.535714285714,-5.92857142857143,711.821428571429,111.035714285714,18.2142857142857,51.0357142857143,295.75,67.1428571428571,261.571428571429,68.6785714285714
"13",13,"2000","Bienville","220","0130","45","130","BIENVILLE","Louisiana",45,130,0,"220","0130",216,275621.3432225,-572037.29736455,"G2200130","2200130",2128393205.43,242374.715335,193.074074074074,128.148148148148,38.037037037037,7361.7037037037,351.62962962963,18.7777777777778,332.814814814815,109.666666666667,145.592592592593,285.37037037037,96.6666666666667,1507,166.962962962963,72.7407407407407,18,419,319.777777777778,343,405.259259259259
"14",14,"2000","Wayne","420","1270","14","1270","WAYNE","Pennsylvania",14,1270,0,"420","1270",931,1697713.97531393,650373.14996212,"G4201270","4201270",1943867869.9,261762.073442,95.0666666666667,111.333333333333,31.3666666666667,8380.66666666667,278,-71.8,349.633333333333,141.266666666667,72.4333333333333,203.533333333333,-10.8,1190.1,113.666666666667,91.3666666666667,6.4,309.666666666667,284.266666666667,304.5,293.566666666667
"15",15,"2000","Harnett","370","0850","47","850","HARNETT","North Carolina",47,850,0,"370","0850",1090,1534834.54884096,-100015.52412767,"G3700850","3700850",1557371624.39,179006.888999,173.142857142857,123.714285714286,37.7619047619048,7412.71428571429,333.47619047619,8.95238095238095,324.619047619048,88.4285714285714,177.428571428571,268.761904761905,78.4761904761905,1275.7619047619,143,77.9047619047619,19.047619047619,380.571428571429,256.380952380952,352.285714285714,344.666666666667
"16",16,"2000","Barron","550","0050","25","50","BARRON/DALLAS","Wisconsin",25,50,0,"550","0050",1896,324751.42783122,893142.59761328,"G5500050","5500050",2305106414.3,191958.152155,75.2790697674419,120,25.4418604651163,11472.8139534884,297.581395348837,-164.976744186047,462.627906976744,211.023255813953,-80.0930232558139,215.906976744186,-80.0930232558139,927.627906976744,122.302325581395,25.7906976744186,46.5581395348837,358.837209302326,96.046511627907,358,96.0697674418605
"17",17,"2000","Blanco","480","0310","49","310","BLANCO","Texas",49,310,0,"480","0310",1655,-230536.51701471,-804944.42799379,"G4800310","4800310",1847759021.67,176094.468254,205.083333333333,129.708333333333,38.2083333333333,6933.70833333333,369.458333333333,34.0833333333333,335.5,258.166666666667,125,293.625,116.458333333333,852.333333333333,132.291666666667,27.8333333333333,46.8333333333333,302.458333333333,111.541666666667,222.458333333333,112.625
"18",18,"2000","Franklin","250","0110","3","110","FRANKLIN","Massachusetts",3,110,0,"250","0110",2759,1890396.1208912,803333.20263311,"G2500110","2500110",1877039173.66,252500.588034,96.7741935483871,119.645161290323,31.6451612903226,8677.90322580645,290.903225806452,-80,370.838709677419,-12.9032258064516,164.354838709677,209.709677419355,-12.9032258064516,1263,122.516129032258,94.0645161290323,8.7741935483871,353.322580645161,289.41935483871,292.41935483871,353.322580645161
"19",19,"2000","Hand","460","0590","37","590","HAND","South Dakota",37,590,0,"460","0590",2823,-238172.63519951,792284.44161968,"G4600590","4600590",3730089659.42,253292.509828,83.5555555555556,134.388888888889,27.3472222222222,11966.7777777778,321.222222222222,-162.222222222222,483.375,205.527777777778,-48.9722222222222,233.027777777778,-74.7777777777778,544.069444444444,83.4444444444444,12.9305555555556,54.9861111111111,241.986111111111,43.4444444444444,226.291666666667,49.7916666666667
"20",20,"2000","Otsego","360","0770","13","770","OTSEGO","New York",13,770,0,"360","0770",2491,1695412.47609164,762772.69937584,"G3600770","3600770",2629077884.25,273752.58533,88.1707317073171,107.390243902439,30.0975609756098,8525.0243902439,274.365853658537,-75.9512195121951,350.390243902439,191.414634146341,-16.5121951219512,198.439024390244,-18.9268292682927,1155.80487804878,108.243902439024,82.1951219512195,8.48780487804878,310.073170731707,257.146341463415,309.560975609756,265.121951219512
"21",21,"2000","Carroll","390","0190","24","190","CARROLL","Ohio",24,190,0,"390","0190",1194,1246431.74191297,443099.61306053,"G3900190","3900190",1033420238.2,144108.939181,113.833333333333,99.0555555555556,28.5,8530.66666666667,289.944444444444,-50.7777777777778,340.777777777778,204.888888888889,12.4444444444444,224.666666666667,4.83333333333333,1015.55555555556,100.944444444444,69.1111111111111,10.8333333333333,293.222222222222,227.777777777778,283.388888888889,228.166666666667
"22",22,"2000","Addison","500","0010","6","10","ADDISON","Vermont",6,10,0,"500","0010",1434,1808438.20130728,949476.38664612,"G5000010","5000010",2093371534.47,224023.719169,87.375,113.3125,29.15625,9136.5625,285.34375,-97.125,382.59375,158.125,-24.78125,205.34375,-29.15625,1105,120.21875,72.34375,13.03125,312.3125,236.90625,307.15625,254
"23",23,"2000","Anson","370","0070","47","70","ANSON","North Carolina",47,70,0,"370","0070",2514,1432765.43687344,-162799.67153627,"G3700070","3700070",1391165935.05,175375.133837,176,126.421052631579,37.6842105263158,7486.1052631579,340.894736842105,9.68421052631579,331.263157894737,90.4210526315789,183.105263157895,272.526315789474,79.7368421052632,1319,147.263157894737,74.6842105263158,20.4736842105263,410.105263157895,266.684210526316,350.421052631579,370.263157894737
"24",24,"2000","Donley","480","1290","49","1290","DONLEY","Texas",49,1290,0,"480","1290",1697,-435759.21731178,-272823.64868046,"G4801290","4801290",2416588347.62,196703.019286,168.714285714286,157.028571428571,38.1142857142857,8729.02857142857,368.028571428571,-39.0857142857143,407.171428571429,257.857142857143,57,280.4,57,552.828571428571,99.4,12.7714285714286,56.8285714285714,243.4,49.8,206.8,49.8285714285714
"25",25,"2000","Giles","510","0710","40","710","GILES","Virginia",40,710,0,"510","0710",2659,1337061.64918206,86997.24850125,"G5100710","5100710",933430942.273,157449.55852,118.375,117.375,34.9375,7655.5625,284,-48,331.9375,199.75,38.9375,217.1875,19.1875,1093,119.875,72.375,14.5625,318.875,236,288.3125,260.9375
"26",26,"2000","Morehouse","220","0670","45","670","MOREHOUSE","Louisiana",45,670,0,"220","0670",239,390649.74593003,-514902.72167004,"G2200670","2200670",2085472779.07,264600.118644,191.703703703704,127.37037037037,37.6666666666667,7510.44444444444,351.925925925926,17.7037037037037,334.148148148148,103.037037037037,266.222222222222,286.259259259259,93.6666666666667,1461.59259259259,159.518518518519,81.6666666666667,20.1851851851852,428.481481481481,302.481481481481,304.259259259259,427.518518518519
"27",27,"2000","New Haven","090","0090","1","90","NEW HAVEN","Connecticut",1,90,0,"090","0090",271,1894967.36044423,669317.85178985,"G0900090","0900090",1603794383.32,331333.077881,123.740740740741,102.62962962963,30.3333333333333,8140,299.37037037037,-32.5185185185185,331.814814814815,28.5925925925926,225.185185185185,230.740740740741,22.5555555555556,1265.18518518519,126.851851851852,86.6666666666667,11.4074074074074,350.851851851852,276,276.925925925926,349.333333333333
"28",28,"2000","Johnson","290","1010","34","1010","JOHNSON","Missouri",34,1010,0,"290","1010",2343,188867.71702146,141623.27950967,"G2901010","2901010",2157530115.11,191563.679105,138.51724137931,117.137931034483,28.3448275862069,9911.44827586207,334.655172413793,-70.6896551724138,405.379310344828,239.551724137931,30.2068965517241,262.51724137931,6.68965517241379,1114.62068965517,150.034482758621,43.5862068965517,37,402.551724137931,156.827586206897,336.172413793103,161.689655172414
"29",29,"2000","Monroe","420","0890","14","890","MONROE","Pennsylvania",14,890,0,"420","0890",3025,1709048.05502536,585222.25673563,"G4200890","4200890",1599106256.12,198679.767114,104.407407407407,113.222222222222,32,8316.37037037037,289,-59.5925925925926,348.592592592593,197.444444444444,143.518518518519,212.851851851852,0.222222222222222,1276.51851851852,120.925925925926,97.7777777777778,6.44444444444444,330.259259259259,306.074074074074,327.407407407407,321.222222222222
"30",30,"2000","Stephens","130","2570","44","2570","STEPHENS","Georgia",44,2570,0,"130","2570",3057,1153389.82247961,-252658.27213369,"G1302570","1302570",477156641.965,98617.8932658,167.833333333333,131.166666666667,39.1666666666667,7277.83333333333,331.333333333333,1.16666666666667,329.833333333333,84.1666666666667,176.333333333333,260.666666666667,73.6666666666667,1644.16666666667,181.333333333333,106,18,520.666666666667,335.166666666667,386.833333333333,470.5
"31",31,"2000","Clark","320","0030","65","30","CLARK","Nevada",65,30,0,"320","0030",2649,-1683061.49936795,24806.16862756,"G3200030","3200030",20954421480,736620.44901,184.298657718121,147.238255033557,39.4161073825503,8560.20134228188,380.815436241611,11.7953020134228,368.993288590604,87.6107382550336,221.436241610738,294.875838926174,80.5671140939597,194.691275167785,35.9731543624161,3.85570469798658,61.506711409396,95.3624161073825,17.9026845637584,34.0838926174497,94.1342281879195
"32",32,"2000","Dakota","270","0370","33","370","DAKOTA","Minnesota",33,370,0,"270","0370",2094,232161.74002719,805961.6620859,"G2700370","2700370",1518576266.24,188146.389464,89.8636363636364,101.681818181818,22.3181818181818,11543.8636363636,303.136363636364,-141.545454545455,444.727272727273,231.727272727273,-66.0909090909091,231.727272727273,-66.0909090909091,865.272727272727,117.727272727273,25.1818181818182,46.1818181818182,338.5,89.1818181818182,338.5,89.1818181818182
"33",33,"2000","Cameron","480","0610","49","610","CAMERON","Texas",49,610,0,"480","0610",1668,-154484.60643559,-1263666.83043746,"G4800610","4800610",2467719069.59,832884.623149,249.677419354839,98.9354838709677,42.3225806451613,4657.51612903226,351.290322580645,120.612903225806,230.677419354839,283.032258064516,225.677419354839,304.225806451613,186.806451612903,741.806451612903,182.645161290323,14,73.5161290322581,350.838709677419,59.1290322580645,243.612903225806,83.0322580645161
"34",34,"2000","Deuel","460","0390","37","390","DEUEL","South Dakota",37,390,0,"460","0390",1997,-52790.92039161,812384.60117709,"G4600390","4600390",1649071615.37,164994.80291,77.7333333333333,121.6,25.0333333333333,12057.7333333333,307.7,-169.833333333333,477.566666666667,223.633333333333,-84.2333333333333,226.1,-84.2333333333333,694.3,101.6,18.9666666666667,50.5666666666667,290.133333333333,65.5333333333333,290.1,65.5333333333333
"35",35,"2000","Chelan","530","0070","73","70","CHELAN","Washington",73,70,0,"530","0070",1815,-1835492.19956289,1395827.39998288,"G5300070","5300070",7753403683,553279.298167,58.5294117647059,108.683823529412,33.1544117647059,7526.39705882353,244.698529411765,-77.0661764705882,321.735294117647,-30.3529411764706,155.301470588235,156.889705882353,-33.25,929.367647058824,158.338235294118,23.6617647058824,58.3014705882353,428.044117647059,86.875,89.9705882352941,426.117647058824
