"","PID","DECADE","NHGISNAM","NHGISST","NHGISCTY","ICPSRST","ICPSRCTY","ICPSRNAM","STATENAM","ICPSRSTI","ICPSRCTYI","ICPSRFIP","STATE","COUNTY","PID.1","X_CENTROID","Y_CENTROID","GISJOIN","GISJOIN2","SHAPE_AREA","SHAPE_LEN","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
"1",1,"2000","Smith","200","1830","32","1830","SMITH","Kansas",32,1830,0,"200","1830",1078,-236386.08924836,259566.56637283,"G2001830","2001830",2321990595.17,192755.580315,152.285714285714,150.885714285714,33.3714285714286,10329.1428571429,380.628571428571,-64.8857142857143,445.657142857143,203.314285714286,21.4571428571429,286.971428571429,21.4571428571429,661.885714285714,133.8,7.57142857142857,62.2857142857143,290.085714285714,43.5142857142857,226.914285714286,43.5142857142857
"2",2,"2000","Holmes","390","0750","24","750","HOLMES","Ohio",24,750,0,"390","0750",1218,1177073.36621582,430366.4719662,"G3900750","3900750",1098202255.19,146352.779149,135.736842105263,113.052631578947,31.6315789473684,8594.52631578947,322,-29.5789473684211,351.684210526316,175.842105263158,204.789473684211,245.315789473684,23.7894736842105,1075.73684210526,121.368421052632,62.2631578947368,22.7894736842105,344.315789473684,211,297.210526315789,221.157894736842
"3",3,"2000","Pamlico","370","1370","47","1370","PAMLICO","North Carolina",47,1370,0,"370","1370",1114,1727492.09935188,-88641.38018658,"G3701370","3701370",883598335.48,620941.951268,198.25,111.75,35.6666666666667,7195.08333333333,346.833333333333,38.6666666666667,308,284.666666666667,159.583333333333,288,103,1249.08333333333,118.583333333333,84.8333333333333,11.1666666666667,346.5,259.166666666667,334.25,306.5
"4",4,"2000","Gratiot","260","0570","23","570","GRATIOT","Michigan",23,570,0,"260","0570",2792,917917.50149998,703692.34475343,"G2600570","2600570",1480443054.17,154795.103298,129.133333333333,113.066666666667,31,8779.26666666667,324.066666666667,-36.4,360.4,172.733333333333,21.4666666666667,241.966666666667,13.5,850.333333333333,95.3666666666667,34.5666666666667,23.9666666666667,256.166666666667,145.033333333333,237.533333333333,145.266666666667
"5",5,"2000","Glacier","300","0350","64","350","GLACIER","Montana",64,350,0,"300","0350",1350,-1258123.57901213,1361812.42546868,"G3000350","3000350",7865622540.15,459100.105154,82.7058823529412,128.713235294118,34.9117647058824,7675.79411764706,284.316176470588,-79.8014705882353,364.154411764706,118.514705882353,47.8235294117647,184.367647058824,-12.5955882352941,545.080882352941,83.1102941176471,23.8676470588235,42.5882352941176,209.779411764706,85.3897058823529,167.889705882353,110.419117647059
"6",6,"2000","Sussex","340","0370","12","370","SUSSEX","New Jersey",12,370,0,"340","0370",2426,1759833.86335371,605943.89222482,"G3400370","3400370",1388199887.92,159312.925121,131.55,119.2,32,8688.55,319.9,-46.35,366.4,171,31.95,241.65,15.1,1268.35,120.1,82.35,12.1,351.75,275.2,308.85,284.6
"7",7,"2000","Chickasaw","280","0170","46","170","CHICKASAW","Mississippi",46,170,0,"280","0170",2234,646695.42753708,-376655.29191443,"G2800170","2800170",1306055447.59,161719.982426,203.222222222222,136.777777777778,37.1111111111111,8059.05555555556,390.055555555556,26.1111111111111,363.888888888889,199.388888888889,303.055555555556,303.888888888889,99.3333333333333,1367.16666666667,180.944444444444,48.6666666666667,37,465.833333333333,185.055555555556,187.166666666667,432
"8",8,"2000","Canadian","400","0170","53","170","CANADIAN","Oklahoma",53,170,0,"400","0170",656,-178162.93911155,-217409.00254356,"G4000170","4000170",2344387085.34,210853.064017,194.055555555556,135.472222222222,32.6111111111111,9691.88888888889,398.305555555556,-10.8611111111111,409.111111111111,289.5,69.5,316.361111111111,69.5,846.277777777778,193.861111111111,18.6944444444444,59.8611111111111,355.25,102.277777777778,220.305555555556,102.277777777778
"9",9,"2000","Pleasants","540","0730","56","730","PLEASANTS","West Virginia",56,730,0,"540","0730",1877,1261602.47998884,308391.80452569,"G5400730","5400730",348581162.392,109267.123265,148.4,124.2,34.6,8363.2,330,-24,354,142,215.2,253.8,38.4,1184.8,123.8,73.8,17.6,357.4,243.2,314.4,267.2
"10",10,"2000","Knox","170","0950","21","950","KNOX","Illinois",21,950,0,"170","0950",622,483032.35630255,399261.72482269,"G1700950","1700950",1863999994.49,173985.63714,146.32,116.64,28.28,10204,349.88,-54.68,404.68,200.28,12.6,275.28,12.6,991.2,127.56,34.72,32.48,341.44,146.2,259.72,146.24
"11",11,"2000","Grayson","480","1810","49","1810","GRAYSON","Texas",49,1810,0,"480","1810",1719,-62424.16804244,-433290.35354655,"G4801810","4801810",2536123811.01,242608.326442,213.033333333333,122.266666666667,32.4,8799.63333333333,395.5,23.7333333333333,371.733333333333,259.8,319.2,323.066666666667,99.3666666666667,959.566666666667,189.8,34.2333333333333,48.3,359.933333333333,160.666666666667,172.866666666667,188.833333333333
"12",12,"2000","Mitchell","200","1230","32","1230","MITCHELL","Kansas",32,1230,0,"200","1230",1053,-188538.0143773,214387.64771905,"G2001230","2001230",1861223431.19,173446.792484,159.607142857143,147.642857142857,32.5714285714286,10428.6071428571,387.321428571429,-58.3928571428571,446.035714285714,242.142857142857,26.3928571428571,294.857142857143,26.3928571428571,720.428571428571,137.642857142857,9.71428571428571,57.3214285714286,305.25,55.0357142857143,244.571428571429,55.0357142857143
"13",13,"2000","Bienville","220","0130","45","130","BIENVILLE","Louisiana",45,130,0,"220","0130",216,275621.3432225,-572037.29736455,"G2200130","2200130",2128393205.43,242374.715335,216.296296296296,137.666666666667,36.5555555555556,8305.14814814815,404.666666666667,33.8888888888889,370.851851851852,116.888888888889,319.444444444444,320.111111111111,109.333333333333,1225.62962962963,186.814814814815,30.2222222222222,42.0740740740741,398.851851851852,147.148148148148,155.296296296296,398.703703703704
"14",14,"2000","Wayne","420","1270","14","1270","WAYNE","Pennsylvania",14,1270,0,"420","1270",931,1697713.97531393,650373.14996212,"G4201270","4201270",1943867869.9,261762.073442,115.766666666667,114.766666666667,31.6,8568.93333333333,298.4,-59.6,357.833333333333,158.3,17.7333333333333,223.2,0.133333333333333,1202.76666666667,116.133333333333,74,13.5,341.5,259.366666666667,291.933333333333,273.633333333333
"15",15,"2000","Harnett","370","0850","47","850","HARNETT","North Carolina",47,850,0,"370","0850",1090,1534834.54884096,-100015.52412767,"G3700850","3700850",1557371624.39,179006.888999,188.809523809524,126.47619047619,38.0952380952381,7558.95238095238,347.142857142857,19.952380952381,327.238095238095,111.571428571429,197.714285714286,282.333333333333,88.4761904761905,1139.14285714286,126.142857142857,72.1904761904762,15.2380952380952,334.666666666667,235.809523809524,294.52380952381,307.095238095238
"16",16,"2000","Barron","550","0050","25","50","BARRON/DALLAS","Wisconsin",25,50,0,"550","0050",1896,324751.42783122,893142.59761328,"G5500050","5500050",2305106414.3,191958.152155,109.720930232558,126.093023255814,28.7906976744186,10401.9302325581,322.139534883721,-108.418604651163,430.627906976744,237.023255813953,-34.7906976744186,237.023255813953,-34.7906976744186,936.651162790698,138.976744186047,22.2325581395349,48.1162790697674,361.139534883721,88.9767441860465,361.139534883721,88.9767441860465
"17",17,"2000","Blanco","480","0310","49","310","BLANCO","Texas",49,310,0,"480","0310",1655,-230536.51701471,-804944.42799379,"G4800310","4800310",1847759021.67,176094.468254,223.791666666667,137.958333333333,40.5833333333333,7066.875,382.166666666667,46.0833333333333,336.125,268.541666666667,243.25,307.875,129.833333333333,656.458333333333,135.541666666667,25.0833333333333,53.25,246.5,110.708333333333,135.5,131.666666666667
"18",18,"2000","Franklin","250","0110","3","110","FRANKLIN","Massachusetts",3,110,0,"250","0110",2759,1890396.1208912,803333.20263311,"G2500110","2500110",1877039173.66,252500.588034,117.838709677419,123.290322580645,31.3225806451613,9099.45161290323,315.709677419355,-73.2258064516129,388.870967741935,69.1612903225806,12.7741935483871,232.677419354839,-5.16129032258065,1262.38709677419,133.516129032258,84.9032258064516,13.258064516129,360.903225806452,273.903225806452,318.258064516129,298.903225806452
"19",19,"2000","Hand","460","0590","37","590","HAND","South Dakota",37,590,0,"460","0590",2823,-238172.63519951,792284.44161968,"G4600590","4600590",3730089659.42,253292.509828,114.263888888889,142.152777777778,29.9583333333333,11134.5277777778,356.416666666667,-109.638888888889,465.986111111111,171.041666666667,-15.6111111111111,258.055555555556,-30.25,501.055555555556,85.3888888888889,10.6944444444444,62.8055555555556,238.666666666667,33.9861111111111,187.819444444444,37.2777777777778
"20",20,"2000","Otsego","360","0770","13","770","OTSEGO","New York",13,770,0,"360","0770",2491,1695412.47609164,762772.69937584,"G3600770","3600770",2629077884.25,273752.58533,111.243902439024,114.829268292683,31.609756097561,8552.53658536585,295,-62.5853658536585,357.658536585366,154.731707317073,13.9024390243902,218.512195121951,-4.51219512195122,1152.82926829268,119.90243902439,65.2926829268293,16.2439024390244,329.048780487805,235.365853658537,291.951219512195,242.365853658537
"21",21,"2000","Carroll","390","0190","24","190","CARROLL","Ohio",24,190,0,"390","0190",1194,1246431.74191297,443099.61306053,"G3900190","3900190",1033420238.2,144108.939181,137.277777777778,114.222222222222,32.1111111111111,8492.44444444445,323.388888888889,-26.7777777777778,350.222222222222,208.555555555556,206.166666666667,245.611111111111,26.6666666666667,1075.83333333333,114.888888888889,61.9444444444444,21.2777777777778,332.722222222222,210.055555555556,297.666666666667,232.666666666667
"22",22,"2000","Addison","500","0010","6","10","ADDISON","Vermont",6,10,0,"500","0010",1434,1808438.20130728,949476.38664612,"G5000010","5000010",2093371534.47,224023.719169,112.09375,115.75,29.46875,9224.78125,308.8125,-78.65625,387.59375,195.625,7.1875,227.71875,-14.25,1091.1875,117.5625,61.03125,18.09375,309.53125,202.21875,308.53125,218.96875
"23",23,"2000","Anson","370","0070","47","70","ANSON","North Carolina",47,70,0,"370","0070",2514,1432765.43687344,-162799.67153627,"G3700070","3700070",1391165935.05,175375.133837,191.157894736842,130.473684210526,38.8947368421053,7546.15789473684,353.157894736842,21.1578947368421,331.947368421053,107.473684210526,200.105263157895,285,91.1578947368421,1153.63157894737,128.105263157895,69.5263157894737,16.8947368421053,351.736842105263,240.315789473684,297.105263157895,312.421052631579
"24",24,"2000","Donley","480","1290","49","1290","DONLEY","Texas",49,1290,0,"480","1290",1697,-435759.21731178,-272823.64868046,"G4801290","4801290",2416588347.62,196703.019286,189.8,161.742857142857,38.0571428571429,9139.97142857143,397.371428571429,-22.4285714285714,419.857142857143,282.371428571429,77.3142857142857,305.085714285714,71.6,554.142857142857,95.4857142857143,9.77142857142857,53.4285714285714,236.828571428571,60.7714285714286,204.828571428571,61.0285714285714
"25",25,"2000","Giles","510","0710","40","710","GILES","Virginia",40,710,0,"510","0710",2659,1337061.64918206,86997.24850125,"G5100710","5100710",933430942.273,157449.55852,139.375,127.5,37,7763.75,308.3125,-31.75,340.125,135.75,52.75,235.25,35.875,1052.1875,108.375,64.125,15.6875,314.125,215.75,269.5625,227.4375
"26",26,"2000","Morehouse","220","0670","45","670","MOREHOUSE","Louisiana",45,670,0,"220","0670",239,390649.74593003,-514902.72167004,"G2200670","2200670",2085472779.07,264600.118644,216.222222222222,137.222222222222,36.1481481481481,8471.7037037037,409.518518518519,34.7407407407407,374.592592592593,183.222222222222,321.777777777778,322.666666666667,107.555555555556,1276.7037037037,175,34.962962962963,41.037037037037,423,143.518518518519,158.037037037037,420.851851851852
"27",27,"2000","New Haven","090","0090","1","90","NEW HAVEN","Connecticut",1,90,0,"090","0090",271,1894967.36044423,669317.85178985,"G0900090","0900090",1603794383.32,331333.077881,143.111111111111,106.074074074074,29.8148148148148,8520.37037037037,322.518518518519,-25.6666666666667,348.111111111111,99.2962962962963,170.481481481481,251.814814814815,30.2222222222222,1309.03703703704,136.185185185185,88.2592592592593,13.9259259259259,383.296296296296,292.333333333333,295.777777777778,316.703703703704
"28",28,"2000","Johnson","290","1010","34","1010","JOHNSON","Missouri",34,1010,0,"290","1010",2343,188867.71702146,141623.27950967,"G2901010","2901010",2157530115.11,191563.679105,166.448275862069,127.724137931034,30.5172413793103,9816.03448275862,371.931034482759,-40.6896551724138,412.655172413793,214.655172413793,38.5172413793103,288.241379310345,38.5172413793103,1101.27586206897,163.448275862069,28.0344827586207,40.3793103448276,411.689655172414,132.724137931034,298.206896551724,132.724137931034
"29",29,"2000","Monroe","420","0890","14","890","MONROE","Pennsylvania",14,890,0,"420","0890",3025,1709048.05502536,585222.25673563,"G4200890","4200890",1599106256.12,198679.767114,123.888888888889,113.555555555556,31.3703703703704,8599.18518518518,309.962962962963,-46.7037037037037,356.703703703704,139.777777777778,25.8148148148148,233.481481481481,9.85185185185185,1278.22222222222,123.962962962963,83.1481481481482,11.4814814814815,350.666666666667,282.555555555556,303.740740740741,297.111111111111
"30",30,"2000","Stephens","130","2570","44","2570","STEPHENS","Georgia",44,2570,0,"130","2570",3057,1153389.82247961,-252658.27213369,"G1302570","1302570",477156641.965,98617.8932658,183.333333333333,128.166666666667,39,7284.66666666667,344,20.3333333333333,323.666666666667,102.833333333333,192.166666666667,273.666666666667,88,1462.66666666667,190.666666666667,88.6666666666667,21.3333333333333,464.333333333333,295,321,402.5
