"","PID","DECADE","NHGISNAM","NHGISST","NHGISCTY","ICPSRST","ICPSRCTY","ICPSRNAM","STATENAM","ICPSRSTI","ICPSRCTYI","ICPSRFIP","STATE","COUNTY","PID.1","X_CENTROID","Y_CENTROID","GISJOIN","GISJOIN2","SHAPE_AREA","SHAPE_LEN","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
"1",1,"2000","Smith","200","1830","32","1830","SMITH","Kansas",32,1830,0,"200","1830",1078,-236386.08924836,259566.56637283,"G2001830","2001830",2321990595.17,192755.580315,143.6,143.685714285714,31.5714285714286,10631.1714285714,377.628571428571,-69.7428571428571,447.485714285714,253.4,5.11428571428571,279.742857142857,5.11428571428571,619.914285714286,97.8571428571429,12.1428571428571,53.8857142857143,260.971428571429,47.6285714285714,232.914285714286,47.6285714285714
"2",2,"2000","Holmes","390","0750","24","750","HOLMES","Ohio",24,750,0,"390","0750",1218,1177073.36621582,430366.4719662,"G3900750","3900750",1098202255.19,146352.779149,125.631578947368,114.631578947368,30.1578947368421,9362,320.157894736842,-53.8947368421053,374.052631578947,219.736842105263,-0.315789473684211,242.210526315789,-0.315789473684211,1034.42105263158,107.631578947368,61.2631578947368,17.5789473684211,310.684210526316,197.684210526316,304.947368421053,197.684210526316
"3",3,"2000","Pamlico","370","1370","47","1370","PAMLICO","North Carolina",47,1370,0,"370","1370",1114,1727492.09935188,-88641.38018658,"G3701370","3701370",883598335.48,620941.951268,190.333333333333,110,34.3333333333333,7502.33333333333,338.916666666667,22.5,316.25,281.75,165.166666666667,281.75,89,1339.5,161.25,75,21.3333333333333,427.75,281.666666666667,427.75,339.083333333333
"4",4,"2000","Gratiot","260","0570","23","570","GRATIOT","Michigan",23,570,0,"260","0570",2792,917917.50149998,703692.34475343,"G2600570","2600570",1480443054.17,154795.103298,113.2,109.766666666667,28.1333333333333,9698.9,319.533333333333,-63.2333333333333,382.7,166.466666666667,-13.7333333333333,236.2,-13.7333333333333,852.566666666667,95.0333333333333,40.3666666666667,26.1333333333333,260.9,135.566666666667,255.6,135.6
"5",5,"2000","Glacier","300","0350","64","350","GLACIER","Montana",64,350,0,"300","0350",1350,-1258123.57901213,1361812.42546868,"G3000350","3000350",7865622540.15,459100.105154,65.9264705882353,129.191176470588,33.7426470588235,8397.88235294118,274.536764705882,-103.985294117647,378.588235294118,130.360294117647,36.2058823529412,175.661764705882,-38.7647058823529,459.455882352941,67.9338235294118,23.3455882352941,39.2867647058824,171.507352941176,77.5073529411765,150.169117647059,92.0955882352941
"6",6,"2000","Sussex","340","0370","12","370","SUSSEX","New Jersey",12,370,0,"340","0370",2426,1759833.86335371,605943.89222482,"G3400370","3400370",1388199887.92,159312.925121,119.25,120.8,31.25,9304.95,314.9,-66.05,381.1,163.5,-6.2,235.4,-6.2,1241.45,123.3,89.65,9.65,336.1,282.35,313,282.35
"7",7,"2000","Chickasaw","280","0170","46","170","CHICKASAW","Mississippi",46,170,0,"280","0170",2234,646695.42753708,-376655.29191443,"G2800170","2800170",1306055447.59,161719.982426,189.333333333333,126.833333333333,36.2222222222222,8032.72222222222,356.5,11.2222222222222,345.388888888889,98.3333333333333,249.166666666667,287.555555555556,80.8888888888889,1544.72222222222,176.333333333333,88.0555555555556,19.6111111111111,472.555555555556,289.833333333333,314.5,446.277777777778
"8",8,"2000","Canadian","400","0170","53","170","CANADIAN","Oklahoma",53,170,0,"400","0170",656,-178162.93911155,-217409.00254356,"G4000170","4000170",2344387085.34,210853.064017,182.111111111111,129.5,32.9444444444444,9211.11111111111,374.555555555556,-12.9166666666667,387.416666666667,230.75,59.3055555555556,296.111111111111,59.3055555555556,813.444444444444,141.777777777778,29,49.3611111111111,345.555555555556,99.5555555555556,237.388888888889,99.5555555555556
"9",9,"2000","Pleasants","540","0730","56","730","PLEASANTS","West Virginia",56,730,0,"540","0730",1877,1261602.47998884,308391.80452569,"G5400730","5400730",348581162.392,109267.123265,140.6,127.4,33.6,9039.4,331,-45,375.8,252,18,252,18,1135,109.6,76.6,11.8,311.4,248.8,311.4,248.8
"10",10,"2000","Knox","170","0950","21","950","KNOX","Illinois",21,950,0,"170","0950",622,483032.35630255,399261.72482269,"G1700950","1700950",1863999994.49,173985.63714,131.96,110.28,26.88,10438.4,338.64,-65.96,404.72,190.84,-9.36,261.44,-9.36,1001.4,115.36,37.36,31.72,335.68,139.28,323.36,139.28
"11",11,"2000","Grayson","480","1810","49","1810","GRAYSON","Texas",49,1810,0,"480","1810",1719,-62424.16804244,-433290.35354655,"G4801810","4801810",2536123811.01,242608.326442,199,119.266666666667,32.7666666666667,8489.16666666667,374.833333333333,16.0333333333333,358.966666666667,243.8,85.6666666666667,304.566666666667,85.6666666666667,1052.3,146.233333333333,53.6,32.5333333333333,361.933333333333,182.9,227.533333333333,182.9
