"","PID","DECADE","NHGISNAM","NHGISST","NHGISCTY","ICPSRST","ICPSRCTY","ICPSRNAM","STATENAM","ICPSRSTI","ICPSRCTYI","ICPSRFIP","STATE","COUNTY","PID.1","X_CENTROID","Y_CENTROID","GISJOIN","GISJOIN2","SHAPE_AREA","SHAPE_LEN","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
"1",1,"2000","Smith","200","1830","32","1830","SMITH","Kansas",32,1830,0,"200","1830",1078,-236386.08924836,259566.56637283,"G2001830","2001830",2321990595.17,192755.580315,150.685714285714,148.428571428571,32.8857142857143,10201.1428571429,375.428571428571,-68.8285714285714,444.371428571429,205.085714285714,19.2571428571429,283.914285714286,19.2571428571429,697.742857142857,137.6,11.1428571428571,60.5714285714286,303.685714285714,47.6,221.371428571429,47.6
"2",2,"2000","Holmes","390","0750","24","750","HOLMES","Ohio",24,750,0,"390","0750",1218,1177073.36621582,430366.4719662,"G3900750","3900750",1098202255.19,146352.779149,137.315789473684,113.578947368421,31.9473684210526,8386.63157894737,318,-30.7894736842105,348.894736842105,192.263157894737,30,243.263157894737,25.8947368421053,1024.21052631579,118.578947368421,55.2631578947368,23.7368421052632,327.315789473684,190.684210526316,289.736842105263,190.736842105263
"3",3,"2000","Pamlico","370","1370","47","1370","PAMLICO","North Carolina",47,1370,0,"370","1370",1114,1727492.09935188,-88641.38018658,"G3701370","3701370",883598335.48,620941.951268,198,111.583333333333,35.6666666666667,7146.33333333333,343.583333333333,35.75,307.666666666667,282.666666666667,209.833333333333,286.25,102.583333333333,1323.58333333333,171.083333333333,73,22,418.333333333333,283.833333333333,378,319.333333333333
"4",4,"2000","Gratiot","260","0570","23","570","GRATIOT","Michigan",23,570,0,"260","0570",2792,917917.50149998,703692.34475343,"G2600570","2600570",1480443054.17,154795.103298,133.3,112.866666666667,31.4333333333333,8366.2,323.1,-30.6333333333333,353.666666666667,177.533333333333,22.2,240.9,22.2,842.1,97.3666666666667,40,24.0666666666667,252.966666666667,141.866666666667,224.866666666667,141.866666666667
"5",5,"2000","Glacier","300","0350","64","350","GLACIER","Montana",64,350,0,"300","0350",1350,-1258123.57901213,1361812.42546868,"G3000350","3000350",7865622540.15,459100.105154,84.1102941176471,130.860294117647,34.9117647058824,7860.49264705882,291.102941176471,-79.0661764705882,370.191176470588,119.801470588235,46.4632352941176,188.816176470588,-14.1397058823529,500.580882352941,76.8382352941177,21.9044117647059,43.4411764705882,194.772058823529,82.6029411764706,149.838235294118,93.9191176470588
"6",6,"2000","Sussex","340","0370","12","370","SUSSEX","New Jersey",12,370,0,"340","0370",2426,1759833.86335371,605943.89222482,"G3400370","3400370",1388199887.92,159312.925121,131.95,121.95,32.7,8549.7,315.05,-51.8,367,127.85,88,239.5,16.6,1177.85,116.05,78.45,12.2,336.45,262.15,298.85,263
"7",7,"2000","Chickasaw","280","0170","46","170","CHICKASAW","Mississippi",46,170,0,"280","0170",2234,646695.42753708,-376655.29191443,"G2800170","2800170",1306055447.59,161719.982426,198.944444444444,131.888888888889,37.1666666666667,7815.38888888889,373.277777777778,22.1111111111111,351.166666666667,174.166666666667,260.666666666667,296.555555555556,95.3333333333333,1467.77777777778,205.555555555556,55.3888888888889,34,507.111111111111,214.777777777778,240.833333333333,438.5
"8",8,"2000","Canadian","400","0170","53","170","CANADIAN","Oklahoma",53,170,0,"400","0170",656,-178162.93911155,-217409.00254356,"G4000170","4000170",2344387085.34,210853.064017,189.666666666667,132.638888888889,32.75,9197.36111111111,389.277777777778,-9.77777777777778,399,236.805555555556,68.8055555555556,306.361111111111,68.8055555555556,941.861111111111,181.027777777778,30.9722222222222,53,393.277777777778,106.083333333333,256.416666666667,106.083333333333
"9",9,"2000","Pleasants","540","0730","56","730","PLEASANTS","West Virginia",56,730,0,"540","0730",1877,1261602.47998884,308391.80452569,"G5400730","5400730",348581162.392,109267.123265,150,124.8,35,8187.4,328.2,-24,352.2,146,77.8,252.2,40.4,1110.4,122,67.8,19,346,224,301.2,231.2
"10",10,"2000","Knox","170","0950","21","950","KNOX","Illinois",21,950,0,"170","0950",622,483032.35630255,399261.72482269,"G1700950","1700950",1863999994.49,173985.63714,147.44,117.72,29,9876.96,347.52,-54.52,402.16,200.6,15.72,272.36,15.72,1012.48,140.48,36.36,32.52,355.96,141.56,273.04,141.56
