"","PID","DECADE","NHGISNAM","NHGISST","NHGISCTY","ICPSRST","ICPSRCTY","ICPSRNAM","STATENAM","ICPSRSTI","ICPSRCTYI","ICPSRFIP","STATE","COUNTY","PID.1","X_CENTROID","Y_CENTROID","GISJOIN","GISJOIN2","SHAPE_AREA","SHAPE_LEN","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
"1",1,"2000","Smith","200","1830","32","1830","SMITH","Kansas",32,1830,0,"200","1830",1078,-236386.08924836,259566.56637283,"G2001830","2001830",2321990595.17,192755.580315,142.4,153.514285714286,32.3714285714286,10843.0857142857,382.914285714286,-84.2285714285714,467.085714285714,220.171428571429,2.77142857142857,279.971428571429,2.77142857142857,631.685714285714,118.142857142857,13.5428571428571,61.5142857142857,283.771428571429,46.9142857142857,216.8,46.9142857142857
"2",2,"2000","Holmes","390","0750","24","750","HOLMES","Ohio",24,750,0,"390","0750",1218,1177073.36621582,430366.4719662,"G3900750","3900750",1098202255.19,146352.779149,123.894736842105,123.315789473684,32.6842105263158,9109.26315789474,318.157894736842,-53.8947368421053,372.052631578947,216.157894736842,4,238.315789473684,4,1069.21052631579,128.684210526316,60.1578947368421,23.7894736842105,332.789473684211,202.894736842105,324.842105263158,202.894736842105
"3",3,"2000","Pamlico","370","1370","47","1370","PAMLICO","North Carolina",47,1370,0,"370","1370",1114,1727492.09935188,-88641.38018658,"G3701370","3701370",883598335.48,620941.951268,189.666666666667,112.833333333333,36.1666666666667,7146.66666666667,336.916666666667,29.0833333333333,307.666666666667,274.583333333333,147.416666666667,278.666666666667,94.6666666666667,1443.58333333333,187.75,86.5,27.6666666666667,517.083333333333,267.583333333333,489.666666666667,284.75
"4",4,"2000","Gratiot","260","0570","23","570","GRATIOT","Michigan",23,570,0,"260","0570",2792,917917.50149998,703692.34475343,"G2600570","2600570",1480443054.17,154795.103298,110.766666666667,117.366666666667,29.2333333333333,9802.76666666667,324.8,-68.3333333333333,393.066666666667,195.833333333333,-15.2,235.833333333333,-15.2,846.833333333333,88.1,42.3666666666667,17.9666666666667,240.6,152.766666666667,234.933333333333,152.8
"5",5,"2000","Glacier","300","0350","64","350","GLACIER","Montana",64,350,0,"300","0350",1350,-1258123.57901213,1361812.42546868,"G3000350","3000350",7865622540.15,459100.105154,66.5588235294118,132.911764705882,32.9117647058824,9165.71323529412,291.411764705882,-106.794117647059,398.227941176471,102.610294117647,45.1838235294118,187.139705882353,-43.6470588235294,481.816176470588,67.8235294117647,21.8088235294118,39.6397058823529,178.205882352941,79.1764705882353,142.272058823529,100.713235294118
"6",6,"2000","Sussex","340","0370","12","370","SUSSEX","New Jersey",12,370,0,"340","0370",2426,1759833.86335371,605943.89222482,"G3400370","3400370",1388199887.92,159312.925121,115.3,126.2,32.4,9150.85,312.1,-71.15,383.4,231,-5.5,231,-5.5,1344.05,135.55,87.7,14.1,397.2,275.75,397.2,275.75
"7",7,"2000","Chickasaw","280","0170","46","170","CHICKASAW","Mississippi",46,170,0,"280","0170",2234,646695.42753708,-376655.29191443,"G2800170","2800170",1306055447.59,161719.982426,192.777777777778,133.444444444444,39.1111111111111,7653.94444444444,359.555555555556,22.1111111111111,337.388888888889,136.055555555556,249.611111111111,287.333333333333,92.2222222222222,1495.83333333333,183.277777777778,82.3333333333333,22.3888888888889,468.722222222222,274.166666666667,295.111111111111,403.111111111111
"8",8,"2000","Canadian","400","0170","53","170","CANADIAN","Oklahoma",53,170,0,"400","0170",656,-178162.93911155,-217409.00254356,"G4000170","4000170",2344387085.34,210853.064017,185.305555555556,136.194444444444,33.2222222222222,9387.94444444445,389.361111111111,-14.9166666666667,404.277777777778,232.416666666667,64.7777777777778,304.5,64.7777777777778,809.638888888889,159.888888888889,23.9722222222222,55.5,338.722222222222,77,204.888888888889,77
"9",9,"2000","Pleasants","540","0730","56","730","PLEASANTS","West Virginia",56,730,0,"540","0730",1877,1261602.47998884,308391.80452569,"G5400730","5400730",348581162.392,109267.123265,140.4,134,35.8,8735.8,327.8,-41,368.6,249.6,24.4,249.6,24.4,1199.4,142.6,72.6,21.2,362.6,240.6,362.6,240.6
"10",10,"2000","Knox","170","0950","21","950","KNOX","Illinois",21,950,0,"170","0950",622,483032.35630255,399261.72482269,"G1700950","1700950",1863999994.49,173985.63714,131.8,120.36,28.44,10620.24,342.08,-72.92,415.04,129.16,-8.96,264.2,-8.96,990.24,112.68,34.24,28.48,322.2,152.52,293.36,152.52
