"","PID","DECADE","NHGISNAM","NHGISST","NHGISCTY","ICPSRST","ICPSRCTY","ICPSRNAM","STATENAM","ICPSRSTI","ICPSRCTYI","ICPSRFIP","STATE","COUNTY","PID.1","X_CENTROID","Y_CENTROID","GISJOIN","GISJOIN2","SHAPE_AREA","SHAPE_LEN","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
"1",1,"2000","Smith","200","1830","32","1830","SMITH","Kansas",32,1830,0,"200","1830",1078,-236386.08924836,259566.56637283,"G2001830","2001830",2321990595.17,192755.580315,111.285714285714,145.828571428571,32.7142857142857,10201.2857142857,332.4,-106.857142857143,439.257142857143,216.514285714286,-23.0285714285714,241.657142857143,-23.0285714285714,630.942857142857,99.8,11.1428571428571,56.9142857142857,268.914285714286,41.1714285714286,247.171428571429,41.1714285714286
"2",2,"2000","Holmes","390","0750","24","750","HOLMES","Ohio",24,750,0,"390","0750",1218,1177073.36621582,430366.4719662,"G3900750","3900750",1098202255.19,146352.779149,95.1578947368421,116.947368421053,31.3684210526316,8954.36842105263,281.157894736842,-85.5789473684211,366.736842105263,186.210526315789,-25.4736842105263,206.263157894737,-25.4736842105263,974.368421052632,109.631578947368,54.2105263157895,20.9473684210526,311.210526315789,180.736842105263,301.473684210526,180.736842105263
"3",3,"2000","Pamlico","370","1370","47","1370","PAMLICO","North Carolina",47,1370,0,"370","1370",1114,1727492.09935188,-88641.38018658,"G3701370","3701370",883598335.48,620941.951268,166.833333333333,111.75,36.1666666666667,7096,313.833333333333,7.75,306.083333333333,251.333333333333,127.916666666667,255.166666666667,72.9166666666667,1354.5,164.916666666667,81,24,459.166666666667,266.416666666667,452.333333333333,299.583333333333
"4",4,"2000","Gratiot","260","0570","23","570","GRATIOT","Michigan",23,570,0,"260","0570",2792,917917.50149998,703692.34475343,"G2600570","2600570",1480443054.17,154795.103298,79.9333333333333,113,28.7333333333333,9675.26666666667,282.333333333333,-104.966666666667,387.3,190.433333333333,-48.4333333333333,200.733333333333,-48.8666666666667,790.633333333333,92.0666666666667,33.3666666666667,26.2333333333333,249.633333333333,125.5,239.5,125.5
"5",5,"2000","Glacier","300","0350","64","350","GLACIER","Montana",64,350,0,"300","0350",1350,-1258123.57901213,1361812.42546868,"G3000350","3000350",7865622540.15,459100.105154,36.7573529411765,131.264705882353,34.125,8275.97058823529,239.073529411765,-139.595588235294,378.669117647059,103.132352941176,-16.8676470588235,143.566176470588,-68.1029411764706,472.213235294118,75.9411764705882,22.9852941176471,44.6838235294118,180.323529411765,78.9485294117647,161.191176470588,86.2205882352941
"6",6,"2000","Sussex","340","0370","12","370","SUSSEX","New Jersey",12,370,0,"340","0370",2426,1759833.86335371,605943.89222482,"G3400370","3400370",1388199887.92,159312.925121,88.1,122.7,32.1,8928.8,277.9,-98.45,376.35,178.6,-31.8,199.85,-31.8,1174.5,113,74,11.8,329.8,247.25,325.15,247.25
"7",7,"2000","Chickasaw","280","0170","46","170","CHICKASAW","Mississippi",46,170,0,"280","0170",2234,646695.42753708,-376655.29191443,"G2800170","2800170",1306055447.59,161719.982426,165.277777777778,128.666666666667,38.2777777777778,7481.27777777778,328,-3.88888888888889,331.888888888889,145.166666666667,219.222222222222,258.5,65.6666666666667,1419.55555555556,154.388888888889,78.1666666666667,20.9444444444444,420.722222222222,254.777777777778,289.388888888889,410
"8",8,"2000","Canadian","400","0170","53","170","CANADIAN","Oklahoma",53,170,0,"400","0170",656,-178162.93911155,-217409.00254356,"G4000170","4000170",2344387085.34,210853.064017,153.444444444444,131.833333333333,33.6388888888889,8895.13888888889,345.277777777778,-40.9166666666667,386.194444444444,201.222222222222,36.1111111111111,265.833333333333,36.1111111111111,802.333333333333,130.25,25.3333333333333,45.3055555555556,306.416666666667,90.6666666666667,236.694444444444,90.6666666666667
"9",9,"2000","Pleasants","540","0730","56","730","PLEASANTS","West Virginia",56,730,0,"540","0730",1877,1261602.47998884,308391.80452569,"G5400730","5400730",348581162.392,109267.123265,111,128.4,34.8,8502.8,292,-71,363,201.4,-3.8,216.8,-3.8,1078.4,112.4,69.8,14.6,317,225.6,316,225.6
"10",10,"2000","Knox","170","0950","21","950","KNOX","Illinois",21,950,0,"170","0950",622,483032.35630255,399261.72482269,"G1700950","1700950",1863999994.49,173985.63714,100,113.6,27.52,10277.2,297.44,-107.56,405,206.96,-41.16,225.32,-41.16,930.64,108.24,33,32.04,309.56,125.28,307.8,125.28
"11",11,"2000","Grayson","480","1810","49","1810","GRAYSON","Texas",49,1810,0,"480","1810",1719,-62424.16804244,-433290.35354655,"G4801810","4801810",2536123811.01,242608.326442,173.833333333333,121.533333333333,34,8075.23333333333,346.766666666667,-5.26666666666667,352.033333333333,216.2,66.6333333333333,275.233333333333,66.6333333333333,994.2,139.7,47.3,32,341.433333333333,166.533333333333,225.233333333333,166.533333333333
"12",12,"2000","Mitchell","200","1230","32","1230","MITCHELL","Kansas",32,1230,0,"200","1230",1053,-188538.0143773,214387.64771905,"G2001230","2001230",1861223431.19,173446.792484,118.5,142.75,32.1071428571429,10227.2857142857,339.107142857143,-99.1071428571429,438.214285714286,223.392857142857,-17.1428571428571,248.642857142857,-17.1428571428571,680.178571428571,100.678571428571,14.6428571428571,52.6071428571429,283.714285714286,52.2142857142857,263.107142857143,52.2142857142857
"13",13,"2000","Bienville","220","0130","45","130","BIENVILLE","Louisiana",45,130,0,"220","0130",216,275621.3432225,-572037.29736455,"G2200130","2200130",2128393205.43,242374.715335,177.111111111111,131.111111111111,38.8148148148148,7330.11111111111,338.148148148148,5.03703703703704,333.111111111111,90.2592592592593,231,267.777777777778,78.4074074074074,1353.96296296296,144.037037037037,77.5185185185185,15.5555555555556,378.888888888889,269.925925925926,290.962962962963,376.407407407407
"14",14,"2000","Wayne","420","1270","14","1270","WAYNE","Pennsylvania",14,1270,0,"420","1270",931,1697713.97531393,650373.14996212,"G4201270","4201270",1943867869.9,261762.073442,70.9,118.333333333333,31.2333333333333,8978.43333333333,257.733333333333,-115.8,373.533333333333,161.266666666667,-38.2333333333333,182.1,-49.8333333333333,1108.7,109.633333333333,71.2,12.3666666666667,314.833333333333,228.633333333333,305.633333333333,233.7
"15",15,"2000","Harnett","370","0850","47","850","HARNETT","North Carolina",47,850,0,"370","0850",1090,1534834.54884096,-100015.52412767,"G3700850","3700850",1557371624.39,179006.888999,156.047619047619,126.285714285714,38.0476190476191,7461.57142857143,315.333333333333,-12.047619047619,327.380952380952,249.52380952381,109.380952380952,249.52380952381,57.0476190476191,1179.71428571429,138.761904761905,73.5238095238095,18.6666666666667,374.190476190476,238.809523809524,374.190476190476,276.52380952381
"16",16,"2000","Barron","550","0050","25","50","BARRON/DALLAS","Wisconsin",25,50,0,"550","0050",1896,324751.42783122,893142.59761328,"G5500050","5500050",2305106414.3,191958.152155,56.6046511627907,126.627906976744,26.7906976744186,11482.3023255814,278.883720930233,-183.790697674419,462.674418604651,194.325581395349,-102.558139534884,194.906976744186,-102.558139534884,820.046511627907,113.325581395349,21.2790697674419,47.7441860465116,324.883720930233,79.5116279069767,324.837209302326,79.5116279069767
"17",17,"2000","Blanco","480","0310","49","310","BLANCO","Texas",49,310,0,"480","0310",1655,-230536.51701471,-804944.42799379,"G4800310","4800310",1847759021.67,176094.468254,186.958333333333,133.666666666667,40.1666666666667,6857.75,345.291666666667,16.0833333333333,329.208333333333,225.416666666667,94.7083333333333,271.166666666667,94.7083333333333,814.708333333333,114,41.625,33.8333333333333,273.333333333333,141.041666666667,197.416666666667,141.041666666667
