OBJECTID,AREA,PERIMETER,EL2004P020,STATE,COUNTY,FIPS,STATE_FIPS,x2008_DEM,x2008_REP,x2008_OTH,x2008_PCT_DEM,x2008_PCT_REP,x2008_PCT_OTH,x2008_SYMBOL,x2008_TOTAL,x2012_DEM,x2012_REP,x2012_OTH,x2012_TOTAL,x2012_PCT_DEM,x2012_PCT_REP,x2012_PCT_OTHR,x2012_WINNER,x2012_PCT_WNR,x2012_GROUP
1,7.00989775164,18.21132220740,8.00000000000,AK,"State House District 8, Denali-University",02008,02,4995,4983,342,48.40,48.28,3.31,10,10320,,,,,,,,,,
2,16.63660476100,168.79168589000,37.00000000000,AK,"State House District 37, Bristol Bay-Aleuti",02037,02,1868,2661,136,40.04,57.04,2.92,4,4665,,,,,,,,,,
3,12.09089203520,36.21083044640,12.00000000000,AK,"State House District 12, Richardson-Glenn H",02012,02,1914,5467,208,25.22,72.04,2.74,2,7589,,,,,,,,,,
4,0.04366466451,1.30727326939,13.00000000000,AK,"State House District 13, Greater Palmer",02013,02,2800,8432,294,24.29,73.16,2.55,2,11526,,,,,,,,,,
5,0.02558350938,1.04082264622,14.00000000000,AK,"State House District 14, Greater Wasilla",02014,02,2132,8108,216,20.39,77.54,2.07,2,10456,,,,,,,,,,
6,0.48042708304,4.74241903138,16.00000000000,AK,"State House District 16, Chugiak-South Mat-",02016,02,2636,7774,287,24.64,72.67,2.68,2,10697,,,,,,,,,,
7,5.94723202211,13.48898530840,15.00000000000,AK,"State House District 15, Rural Mat-Su",02015,02,2510,8227,349,22.64,74.21,3.15,2,11086,,,,,,,,,,
8,16.29716640810,84.73371553830,39.00000000000,AK,"State House District 39, Bering Straits",02039,02,2695,2323,166,51.99,44.81,3.20,9,5184,,,,,,,,,,
9,73.34673323900,148.70352326600,40.00000000000,AK,"State House District 40, Arctic",02040,02,2137,2686,177,42.74,53.72,3.54,4,5000,,,,,,,,,,
10,1.93101139166,64.25102825590,2.00000000000,AK,"State House District 2, Sitka-Wrangell-Pete",02002,02,3468,4029,238,44.84,52.09,3.08,4,7735,,,,,,,,,,
11,0.83823994675,9.61397784300,3.00000000000,AK,"State House District 3, Juneau-Downtown-Dou",02003,02,5657,2829,281,64.53,32.27,3.21,8,8767,,,,,,,,,,
12,0.26549631640,5.51774127185,4.00000000000,AK,"State House District 4, Juneau-Mendenhall V",02004,02,4161,4302,273,47.63,49.24,3.13,5,8736,,,,,,,,,,
13,104.12072872000,88.62818669280,6.00000000000,AK,"State House District 6, Interior Villages",02006,02,2351,4234,239,34.45,62.05,3.50,3,6824,,,,,,,,,,
14,0.00287530695,0.32082503154,17.00000000000,AK,"State House District 17, Eagle River",02017,02,2645,6621,182,28.00,70.08,1.93,2,9448,,,,,,,,,,
15,0.00367464056,0.34651659873,31.00000000000,AK,"State House District 31, Huffman-Ocean View",02031,02,3596,6419,205,35.19,62.81,2.01,3,10220,,,,,,,,,,
16,0.00191980142,0.22408239221,25.00000000000,AK,"State House District 25, East Spenard",02025,02,3233,3042,168,50.18,47.21,2.61,9,6443,,,,,,,,,,
17,0.03383145848,1.07997709531,18.00000000000,AK,"State House District 18, Military",02018,02,2046,4252,113,31.91,66.32,1.76,3,6411,,,,,,,,,,
18,0.00216281000,0.22502152440,29.00000000000,AK,"State House District 29, Campbell-Independe",02029,02,2684,4127,151,38.55,59.28,2.17,4,6962,,,,,,,,,,
19,0.00620608298,0.41975118748,30.00000000000,AK,"State House District 30, Lore-Abbott",02030,02,3486,5500,197,37.96,59.89,2.15,4,9183,,,,,,,,,,
20,0.00241449812,0.23926590213,24.00000000000,AK,"State House District 24, Midtown-Taku",02024,02,3380,4127,181,43.96,53.68,2.35,4,7688,,,,,,,,,,
21,0.00093056121,0.21490385946,20.00000000000,AK,"State House District 20, Mountain View-Wond",02020,02,2474,2536,128,48.15,49.36,2.49,5,5138,,,,,,,,,,
22,0.00177272122,0.19503733944,22.00000000000,AK,"State House District 22, University-Airport",02022,02,3337,3109,188,50.30,46.86,2.83,9,6634,,,,,,,,,,
23,0.00892417319,0.76305737386,27.00000000000,AK,"State House District 27, Sand Lake",02027,02,3130,5159,209,36.83,60.71,2.46,3,8498,,,,,,,,,,
24,0.00107015761,0.17024613224,21.00000000000,AK,"State House District 21, Baxter Bog",02021,02,3647,4837,191,42.04,55.76,2.20,4,8675,,,,,,,,,,
25,0.00222850986,0.28564389960,23.00000000000,AK,"State House District 23, Downtown-Rogers Pa",02023,02,4075,2808,199,57.54,39.65,2.81,9,7082,,,,,,,,,,
26,0.00336508201,0.42970069498,28.00000000000,AK,"State House District 28, Bayshore-Klatt",02028,02,3642,5953,197,37.19,60.79,2.01,3,9792,,,,,,,,,,
27,0.57633319081,6.89353433235,32.00000000000,AK,"State House District 32, Chugach State Park",02032,02,5176,6867,264,42.06,55.80,2.15,4,12307,,,,,,,,,,
28,0.00120130096,0.18790803006,19.00000000000,AK,"State House District 19, Muldoon",02019,02,3095,4106,171,41.98,55.70,2.32,4,7372,,,,,,,,,,
29,0.00187910557,0.23293258032,26.00000000000,AK,"State House District 26, Turnagain-Inlet Vi",02026,02,4472,4037,186,51.43,46.43,2.14,9,8695,,,,,,,,,,
30,8.72900953946,75.88553823090,36.00000000000,AK,"State House District 36, Kodiak",02036,02,2264,4201,208,33.93,62.96,3.12,3,6673,,,,,,,,,,
31,9.75675857173,47.87848383560,38.00000000000,AK,"State House District 38, Bethel",02038,02,2549,2056,215,52.88,42.66,4.46,9,4820,,,,,,,,,,
32,0.04030488848,1.57021139205,33.00000000000,AK,"State House District 33, Kenai-Soldotna",02033,02,2089,6571,249,23.45,73.76,2.79,2,8909,,,,,,,,,,
